0,3728e862bc1a-Hudep2_ATAC,63c8c12bbd6d-Hudep2_D3_merged_CTCF.all,7cc13c8c96b4-Hudep2_BCL11A,205e5fa1f1a2-Hudep2_D0_GATA1.all,d129b3ac2b99-HUDEP2_LRF_CHIP,b7711f4c7ed3-Hudep2_D3_merged_GATA1.all,edffd978bf93-Hudep2_D3_merged_KLF1.all,acd1460e941b-Hudep2_D3_merged_LDB1.all,7453df490b6c-Hudep2_D3_merged_TAL1.all
chr11:4216317-4216318,505.158,11.056,9.39179,144.953,28.9701,147.19799999999998,53.3731,56.9938,55.7226
chr11:4218202-4218203,34.5386,4.70025,1.21517,8.00124,11.398,10.3396,8.567160000000001,7.837060000000001,6.747510000000001
chr11:4218204-4218205,34.6779,4.70771,1.2350700000000001,7.9564699999999995,11.4602,10.3147,8.56965,7.85945,6.75
chr11:4218212-4218213,35.2351,4.73756,1.3146799999999998,7.777360000000001,11.709000000000001,10.2152,8.5796,7.949,6.75995
chr11:4218233-4218234,36.6978,4.815919999999999,1.5236299999999998,7.30721,12.3619,9.95398,8.60572,8.18408,6.78607
chr11:4218234-4218235,36.7674,4.81965,1.53358,7.28483,12.392999999999999,9.94154,8.60697,8.195269999999999,6.787310000000001
chr11:4218236-4218237,36.9067,4.82711,1.55348,7.24005,12.4552,9.91667,8.60945,8.21766,6.7898
chr11:4218245-4218246,37.5336,4.8607,1.64303,7.03856,12.7351,9.804730000000001,8.62065,8.31841,6.801
chr11:4218255-4218256,37.6704,4.94776,1.7412900000000002,6.77612,13.0609,9.6505,8.648010000000001,8.36318,6.75995
chr11:4218313-4218314,34.6381,5.70522,2.23507,5.18035,14.842,8.55224,8.949,8.157960000000001,6.13806
chr11:4218320-4218321,33.7326,5.8097,2.26119,5.0149300000000006,14.99,8.38682,9.01866,8.0796,6.01617
chr11:4353277-4353278,83.6505,5.75,1.36816,6.978860000000001,9.771139999999999,6.2960199999999995,4.95025,9.92164,5.3830800000000005
chr11:4353278-4353279,83.9465,5.75,1.3656700000000002,7.007460000000001,9.753730000000001,6.30224,4.93035,9.93035,5.39925
chr11:4353280-4353281,84.5386,5.75,1.3607,7.06468,9.718910000000001,6.31468,4.89055,9.94776,5.43159
chr11:4353287-4353288,86.6107,5.75,1.34328,7.2649300000000006,9.597010000000001,6.35821,4.75124,10.0087,5.54478
chr11:4353301-4353302,90.3632,5.75871,1.30224,7.66542,9.36692,6.44527,4.47388,10.1032,5.75746
chr11:4353319-4353320,90.9453,5.82587,1.1903,8.13557,9.2102,6.53483,4.16045,9.92413,5.89179
chr11:4353343-4353344,91.7214,5.91542,1.04104,8.76244,9.00124,6.65423,3.74254,9.685319999999999,6.0709
chr11:4403276-4403277,278.785,6.681589999999999,2.77114,4.10323,8.43657,17.2475,11.6368,13.0299,9.61443
chr11:4403325-4403326,342.968,7.34328,3.31468,4.4403,8.4403,18.7164,12.7537,15.5386,11.9863
chr11:4403327-4403328,344.704,7.3607,3.3296,4.45522,8.4403,18.7488,12.7886,15.6157,12.0734
chr11:4403334-4403335,350.781,7.421639999999999,3.38184,4.50746,8.4403,18.8619,12.9104,15.8856,12.3781
chr11:4403346-4403347,361.199,7.52612,3.47139,4.59701,8.4403,19.055999999999997,13.1194,16.3483,12.9005
chr11:4403348-4403349,362.935,7.5435300000000005,3.4863199999999996,4.61194,8.4403,19.0883,13.1542,16.4254,12.9876
chr11:4403350-4403351,364.0,7.55348,3.5,4.62562,8.43781,19.1119,13.1803,16.4876,13.0721
chr11:4403356-4403357,361.10400000000004,7.51617,3.52239,4.64055,8.422889999999999,19.0746,13.1803,16.5025,13.2587
chr11:4514612-4514613,269.965,55.4863,6.39303,9.6505,18.4303,8.064680000000001,8.29851,6.14179,4.01617
chr11:4560994-4560995,68.352,47.8221,1.6865700000000001,4.38806,9.49876,4.14428,8.9403,7.00622,4.155469999999999
chr11:4560996-4560997,69.2575,48.2575,1.66418,4.42786,9.521139999999999,4.1592,8.9602,7.02612,4.16542
chr11:4561023-4561024,76.3396,52.107,1.39055,4.8806,9.88433,4.24378,9.02612,7.2064699999999995,4.065919999999999
chr11:4629078-4629079,240.86599999999999,11.7301,1.10199,4.00746,37.1517,6.49254,22.4925,10.6505,6.19776
chr11:4629151-4629152,399.551,12.5274,2.0908,5.89677,37.5535,8.61318,25.7873,10.6356,8.746269999999999
chr11:4647582-4647583,111.382,70.8943,4.66667,4.91542,10.9565,2.37811,7.891789999999999,7.412939999999999,5.14801
chr11:4647604-4647605,121.06200000000001,74.551,4.0709,4.83831,11.1095,2.29478,8.0199,7.5248800000000005,5.45025
chr11:4647611-4647612,121.524,74.908,3.88806,4.78607,11.1791,2.2686599999999997,8.054730000000001,7.5597,5.476369999999999
chr11:4647612-4647613,121.59,74.959,3.86194,4.77861,11.1891,2.26493,8.0597,7.56468,5.4801
chr11:4658295-4658296,167.101,57.4664,2.20025,5.82338,12.7811,2.2624400000000002,6.53607,7.7935300000000005,4.5323400000000005
chr11:4658347-4658348,178.141,60.2699,2.2475099999999997,5.45522,12.0361,2.3097,5.54975,6.386819999999999,4.67786
chr11:5012413-5012414,175.162,46.9938,1.89055,6.8893,11.949000000000002,12.2338,6.00622,8.5597,5.33831
chr11:5012415-5012416,177.567,47.3993,1.89303,6.91915,11.9789,12.296,6.01617,8.587060000000001,5.33333
chr11:5012425-5012426,189.595,49.4266,1.90547,7.068410000000001,12.1281,12.607000000000001,6.065919999999999,8.72388,5.30846
chr11:5012472-5012473,230.922,56.8433,1.8806,7.604480000000001,12.550999999999998,13.7015,6.301,9.342039999999999,5.136819999999999
chr11:5012481-5012482,235.657,57.8172,1.85821,7.671639999999999,12.5734,13.8358,6.34577,9.45398,5.09204
chr11:5012483-5012484,236.709,58.0336,1.85323,7.68657,12.5784,13.8657,6.35572,9.478860000000001,5.08209
chr11:5108644-5108645,140.754,7.238810000000001,2.63557,18.296,19.4316,7.3296,8.81965,7.53483,4.1218900000000005
chr11:5108646-5108647,142.221,7.21891,2.63308,18.3905,19.4067,7.3694,8.817160000000001,7.54478,4.16667
chr11:5108656-5108657,147.762,7.051,2.66169,18.7761,19.1629,7.652989999999999,8.847010000000001,7.56095,4.354480000000001
chr11:5150730-5150731,102.118,7.592039999999999,6.2251199999999995,6.641789999999999,12.8545,24.8271,7.8855699999999995,8.243780000000001,6.123130000000001
chr11:5150817-5150818,129.281,10.0908,6.0149300000000006,7.268660000000001,13.3607,25.3968,7.79104,7.39428,7.8408
chr11:5150818-5150819,129.15200000000002,10.107000000000001,5.99129,7.2699,13.3495,25.3458,7.7898,7.38806,7.85323
chr11:5173045-5173046,875.709,14.9241,25.4988,135.96,37.1878,267.595,69.1679,174.13299999999998,184.19799999999998
chr11:5173047-5173048,886.072,15.0112,25.8022,137.189,37.2649,269.498,69.658,175.678,185.37900000000002
chr11:5173053-5173054,915.815,15.255,26.842,140.542,37.4042,273.968,71.0062,179.49099999999999,188.34799999999998
chr11:5173055-5173056,925.058,15.3296,27.1953,141.52700000000002,37.4291,275.065,71.3993,180.524,189.12400000000002
chr11:5173086-5173087,1068.34,16.4863,32.6704,156.796,37.8147,292.068,77.4913,196.525,201.15400000000002
chr11:5173087-5173088,1072.96,16.5236,32.847,157.289,37.8271,292.617,77.6878,197.041,201.542
chr11:5173088-5173089,1077.58,16.5609,33.0236,157.781,37.8396,293.165,77.8843,197.55700000000002,201.93
chr11:5173106-5173107,1146.06,17.1592,36.1045,165.267,37.7301,300.318,80.8868,204.007,207.50599999999997
chr11:5173110-5173111,1155.37,17.2587,36.7413,166.357,37.5759,300.776,81.3296,204.30599999999998,208.148
chr11:5173163-5173164,1230.35,18.4167,44.1206,176.235,35.0535,301.825,85.5373,202.165,213.958
chr11:5173165-5173166,1227.85,18.4415,44.2823,176.10299999999998,34.9067,301.31,85.5124,201.412,213.88099999999997
chr11:5173174-5173175,1216.61,18.5535,45.01,175.51,34.2463,298.993,85.4005,198.02,213.53400000000002
chr11:5173209-5173210,1144.5,18.898,46.5311,170.37599999999998,31.5846,286.519,83.7886,181.975,209.291
chr11:5173231-5173232,1051.82,18.9527,45.2998,162.44,29.7786,273.08299999999997,80.8333,167.199,201.903
chr11:5181611-5181612,50.7065,2.51119,0.18408,13.306,7.93035,17.6816,8.32587,10.9701,10.5174
chr11:5186340-5186341,3.1592,2.7810900000000003,0.422886,8.601989999999999,11.3296,11.1194,1.9514900000000002,4.01617,6.0385599999999995
chr11:5186363-5186364,2.88433,2.9838299999999998,0.308458,8.02985,10.8968,10.8831,2.03234,3.59577,6.0248800000000005
chr11:5186382-5186383,2.7189099999999997,3.22015,0.21393,7.62811,10.495,10.5522,2.0796,3.28856,5.977609999999999
chr11:5186435-5186436,2.65299,3.87811,0.037313400000000004,6.854480000000001,9.148010000000001,9.22761,2.0796,2.87189,5.44527
chr11:5186437-5186438,2.6579599999999997,3.90299,0.0323383,6.832089999999999,9.09328,9.1704,2.07711,2.86443,5.41791
chr11:5186438-5186439,2.66045,3.9154199999999997,0.0298507,6.8209,9.06592,9.14179,2.07587,2.8607,5.40423
chr11:5226205-5226206,303.346,94.8507,44.5199,8.53731,23.9565,5.0248800000000005,19.4726,9.814680000000001,7.65672
chr11:5226215-5226216,319.627,94.9502,45.4279,8.611939999999999,23.7823,4.95025,19.4353,9.71517,7.71891
chr11:5226216-5226217,321.255,94.9602,45.5187,8.6194,23.7649,4.9427900000000005,19.4316,9.705219999999999,7.7251199999999995
chr11:5226294-5226295,396.94699999999995,86.209,45.7351,8.53731,21.7388,4.69154,18.1953,8.65423,8.04353
chr11:5226296-5226297,397.897,85.801,45.6082,8.52239,21.6741,4.69154,18.1455,8.621889999999999,8.04851
chr11:5226298-5226299,398.847,85.39299999999999,45.4813,8.50746,21.6095,4.69154,18.0958,8.58955,8.05348
chr11:5226305-5226306,393.664,83.2214,44.3458,8.40672,21.2873,4.73632,17.8619,8.51866,7.95522
chr11:5245907-5245908,621.919,11.1642,11.7376,21.346999999999998,52.1729,61.1244,38.051,26.5585,26.8744
chr11:5245945-5245946,668.049,10.7388,12.9664,19.9291,53.4017,56.5871,37.7201,24.7152,27.5361
chr11:5245962-5245963,680.3710000000001,10.5808,13.2774,19.393,53.51,53.8495,37.2388,23.6517,27.7127
chr11:5245970-5245971,684.58,10.5112,13.3769,19.1642,53.4801,52.4565,36.9602,23.1144,27.7724
chr11:5246236-5246237,693.3589999999999,9.09577,18.9714,16.6629,42.943999999999996,23.6405,27.5224,18.9801,24.2811
chr11:5246237-5246238,692.674,9.0796,18.9863,16.6555,42.8321,23.6169,27.5025,19.0137,24.2512
chr11:5246242-5246243,689.248,8.99876,19.0609,16.6182,42.2724,23.4988,27.403000000000002,19.1816,24.101999999999997
chr11:5246244-5246245,687.877,8.96642,19.0908,16.6032,42.0485,23.4515,27.3632,19.2488,24.0423
chr11:5246246-5246247,686.5060000000001,8.93408,19.1206,16.5883,41.8246,23.4042,27.3234,19.3159,23.9826
chr11:5246279-5246280,650.984,8.58458,18.4042,16.2276,37.3072,22.8308,27.0311,20.3532,22.99
chr11:5246280-5246281,649.866,8.57463,18.3781,16.2164,37.1679,22.8147,27.0236,20.3843,22.9602
chr11:5246293-5246294,635.33,8.445269999999999,18.0386,16.0709,35.357,22.6045,26.9266,20.7886,22.5721
chr11:5246294-5246295,634.211,8.435319999999999,18.0124,16.0597,35.2177,22.5883,26.9192,20.8197,22.5423
chr11:5246314-5246315,607.754,8.47264,17.1965,15.6493,32.5759,22.3507,26.9167,21.194000000000003,21.9925
chr11:5246896-5246897,641.011,15.6468,37.3072,44.0124,40.49,40.4975,36.3731,21.9963,21.7649
chr11:5246901-5246902,651.066,15.6318,38.0211,44.4813,40.5398,40.8818,36.3682,22.0261,21.944000000000003
chr11:5246905-5246906,654.643,15.6468,38.3495,44.6704,40.5,41.0958,36.3483,22.0759,22.1132
chr11:5246906-5246907,655.5369999999999,15.6505,38.4316,44.7177,40.49,41.1493,36.3433,22.0883,22.1555
chr11:5246908-5246909,657.326,15.658,38.5958,44.8122,40.4701,41.2562,36.3333,22.1132,22.24
chr11:5246959-5246960,685.012,15.8221,41.4428,46.3246,39.7836,43.5522,36.0659,22.8321,24.2662
chr11:5246963-5246964,681.0419999999999,15.8271,41.208999999999996,46.1356,39.6692,43.5821,36.041,22.9167,24.3806
chr11:5246966-5246967,678.065,15.8308,41.0336,45.9938,39.5833,43.6045,36.0224,22.9801,24.4664
chr11:5246970-5246971,674.095,15.8358,40.7998,45.8047,39.4689,43.6343,35.9975,23.0647,24.5808
chr11:5248367-5248368,2250.32,16.8694,32.9639,21.9453,41.2363,51.8955,94.1318,24.8607,31.8557
chr11:5248398-5248399,2112.86,16.0983,31.0361,21.2127,37.5734,50.7388,92.8209,24.051,29.1953
chr11:5248436-5248437,1821.19,15.199000000000002,27.6045,19.2201,34.342,47.9055,86.0734,23.7699,26.1468
chr11:5248437-5248438,1813.42,15.1754,27.5137,19.1667,34.2587,47.8296,85.8905,23.7637,26.0672
chr11:5248456-5248457,1652.41,14.8022,25.7027,18.0908,32.8445,46.2848,81.8072,23.6032,24.5249
chr11:5249150-5249151,102.396,7.008710000000001,4.99254,10.806,16.5796,29.0435,20.2512,12.0547,5.99254
chr11:5249152-5249153,102.182,7.04104,4.97015,10.8209,16.6393,29.0435,20.296,12.0348,5.97015
chr11:5249162-5249163,101.11200000000001,7.2027399999999995,4.85821,10.8955,16.9378,29.0435,20.5199,11.9353,5.85821
chr11:5255877-5255878,409.30199999999996,22.0933,12.3271,36.4415,14.5734,163.279,15.6294,24.8905,24.0684
chr11:5255968-5255969,273.394,17.5025,9.52985,39.4204,14.3532,158.847,17.1343,23.2264,20.6132
chr11:5263459-5263460,69.8943,7.10323,6.4005,8.12687,13.8557,15.0224,6.2699,13.4291,8.842039999999999
chr11:5263461-5263462,70.1754,7.12562,6.44527,8.16667,13.8383,15.0796,6.29975,13.4813,8.87438
chr11:5263466-5263467,70.8781,7.181589999999999,6.55721,8.266169999999999,13.7948,15.2226,6.37438,13.6119,8.955219999999999
chr11:5263467-5263468,71.0187,7.19279,6.5796,8.28607,13.7861,15.2512,6.3893,13.6381,8.97139
chr11:5263505-5263506,75.7948,7.56716,7.37935,8.98259,13.4453,16.2823,6.98756,14.4751,9.57463
chr11:5263506-5263507,75.8296,7.568410000000001,7.391789999999999,8.99129,13.4353,16.2998,7.007460000000001,14.4726,9.58831
chr11:5263513-5263514,76.0734,7.57711,7.478860000000001,9.05224,13.3657,16.4216,7.14677,14.4552,9.68408
chr11:5263515-5263516,76.143,7.5796,7.50373,9.06965,13.3458,16.4565,7.18657,14.4502,9.71144
chr11:5263541-5263542,77.0485,7.61194,7.82711,9.29602,13.0871,16.9092,7.7039800000000005,14.3856,10.0672
chr11:5263542-5263543,77.0833,7.613180000000001,7.83955,9.304730000000001,13.0771,16.9266,7.72388,14.3831,10.0808
chr11:5263598-5263599,73.0945,7.3818399999999995,7.81095,9.25,13.0585,16.8731,8.59826,12.9167,10.0622
chr11:5263610-5263611,70.8918,7.254980000000001,7.594530000000001,9.11443,12.9701,16.5883,8.66045,12.4925,9.91169
chr11:5263621-5263622,68.7575,7.1318399999999995,7.37562,8.97761,12.8744,16.301,8.70149,12.0958,9.76119
chr11:5263624-5263625,68.1754,7.098260000000001,7.315919999999999,8.9403,12.8483,16.2226,8.71269,11.9876,9.72015
chr11:5264340-5264341,71.1667,3.45771,4.7960199999999995,4.386819999999999,11.3346,2.27736,8.03234,7.52239,5.20896
chr11:5264375-5264376,83.7512,4.01119,5.31343,4.344530000000001,11.9776,2.47637,8.597010000000001,7.43284,5.0908
chr11:5264384-5264385,86.6953,4.16791,5.42537,4.33333,12.1455,2.5547299999999997,8.72015,7.38806,5.0572099999999995
chr11:5264411-5264412,92.84200000000001,4.699,5.56095,4.386819999999999,12.5498,2.84826,8.97761,7.226369999999999,4.89801
chr11:5264421-5264422,93.75,4.92289,5.51119,4.449,12.6493,2.98507,9.01493,7.151739999999999,4.81095
chr11:5264761-5264762,92.1244,6.25871,4.2251199999999995,5.0572099999999995,16.0336,4.38433,10.0361,5.08955,2.59328
chr11:5264805-5264806,106.64200000000001,6.78483,3.89055,4.58582,16.9851,3.95149,9.398010000000001,5.4602,3.6554699999999998
chr11:5265117-5265118,52.898,5.65672,2.28483,5.87065,10.6729,3.5522400000000003,3.3233800000000002,8.14925,4.08333
chr11:5265129-5265130,48.8085,5.50746,2.18035,5.82587,10.449000000000002,3.67164,3.4129400000000003,8.16418,4.00871
chr11:5265161-5265162,38.6405,5.0908,1.9564700000000002,5.66294,9.9801,3.99005,3.7537300000000005,8.32338,3.90423
chr11:5265168-5265169,36.7512,4.995019999999999,1.93035,5.6107,9.92786,4.0597,3.86692,8.40174,3.92164
chr11:5265169-5265170,36.4813,4.98134,1.92662,5.60323,9.9204,4.06965,3.88308,8.412939999999999,3.9241300000000003
chr11:5265172-5265173,35.6716,4.9403,1.9154200000000001,5.58085,9.898010000000001,4.0995,3.9315900000000004,8.44652,3.9315900000000004
chr11:5265967-5265968,470.3,6.15796,18.6679,25.6045,17.99,52.9714,25.3968,20.3905,19.2338
chr11:5265968-5265969,473.825,6.16667,18.7637,25.6604,17.9789,53.1517,25.4341,20.4664,19.3147
chr11:5265970-5265971,480.874,6.184080000000001,18.9552,25.7724,17.9565,53.5124,25.5087,20.6182,19.4764
chr11:5265973-5265974,491.449,6.2102,19.2425,25.9403,17.9229,54.0535,25.6206,20.8458,19.7189
chr11:5265975-5265976,498.499,6.227609999999999,19.4341,26.0522,17.9005,54.4142,25.6953,20.9975,19.8806
chr11:5266009-5266010,606.002,6.645519999999999,21.9701,27.842,17.4838,59.8769,26.6132,23.2276,22.5137
chr11:5266055-5266056,694.7280000000001,7.6330800000000005,22.4415,29.7289,16.7786,64.3532,26.4689,24.7102,25.3918
chr11:5266065-5266066,693.3969999999999,7.8694,21.8321,30.0274,16.6045,64.5896,26.2077,24.5609,25.6654
chr11:5266067-5266068,693.1310000000001,7.91667,21.7102,30.0871,16.5697,64.6368,26.1555,24.5311,25.7201
chr11:5266509-5266510,19.8669,3.87811,3.9875599999999998,13.652999999999999,13.3943,9.08955,11.3918,8.65174,5.184080000000001
chr11:5266510-5266511,19.8993,3.87189,3.9863199999999996,13.642999999999999,13.3831,9.06592,11.392999999999999,8.61567,5.16418
chr11:5266511-5266512,19.9316,3.8656699999999997,3.98507,13.6331,13.3719,9.04229,11.3943,8.5796,5.14428
chr11:5266557-5266558,21.2873,3.59826,3.89925,13.1219,12.8507,8.0,11.4739,6.94279,4.23134
chr11:5296477-5296478,9.243780000000001,10.8408,2.21144,7.504980000000001,11.4204,3.5310900000000003,14.6219,11.6505,6.22015
chr11:5296526-5296527,11.6667,12.7525,2.60075,8.24254,12.7836,4.34328,15.9204,13.5361,8.15547
chr11:5296537-5296538,12.2002,13.2177,2.66915,8.4204,13.2077,4.56219,16.2488,14.0149,8.60697
chr11:5297162-5297163,959.529,20.3905,52.8694,73.2624,46.0174,187.545,81.3744,46.0609,67.8781
chr11:5297168-5297169,986.581,20.7562,54.1978,73.8818,46.0398,188.358,81.4789,46.6057,67.8035
chr11:5297170-5297171,995.5980000000001,20.8781,54.6405,74.0883,46.0473,188.62900000000002,81.5137,46.7873,67.7786
chr11:5297171-5297172,1000.11,20.9391,54.8619,74.1915,46.051,188.765,81.5311,46.8781,67.7662
chr11:5297172-5297173,1004.62,21.0,55.0833,74.2948,46.0547,188.9,81.5485,46.9689,67.7537
chr11:5297273-5297274,1126.49,24.551,57.9366,71.6443,39.3271,170.988,73.7898,47.7811,59.1194
chr11:5297274-5297275,1123.55,24.5485,57.7438,71.4801,39.209,170.483,73.6256,47.7015,58.9639
chr11:5302001-5302002,1448.07,23.2935,131.499,76.2152,65.4478,126.37100000000001,530.93,193.16,142.56
chr11:5302474-5302475,46.24,8.35821,3.5398,10.1692,16.6144,5.8072099999999995,30.7276,16.1542,9.167910000000001
chr11:5302483-5302484,44.3595,8.10075,3.43905,10.046,16.2898,5.48259,28.9478,15.6841,8.67537
chr11:5302494-5302495,42.0609,7.78607,3.3159199999999998,9.89552,15.892999999999999,5.08582,26.7724,15.1095,8.07338
chr11:5302519-5302520,37.1828,7.16418,3.07836,9.81592,15.2985,4.51244,23.5734,13.9353,7.24378
chr11:5302520-5302521,36.995,7.14055,3.06965,9.81592,15.2786,4.49378,23.4677,13.8905,7.21766
chr11:5302521-5302522,36.8072,7.1169199999999995,3.06095,9.81592,15.2587,4.4751199999999995,23.3619,13.8458,7.19154
chr11:5302522-5302523,36.6194,7.09328,3.0522400000000003,9.81592,15.2388,4.4564699999999995,23.2562,13.800999999999998,7.16542
chr11:5302555-5302556,30.4415,6.41791,2.74627,9.842039999999999,14.5709,3.8893,20.0373,12.3246,6.39677
chr11:5302558-5302559,29.908,6.40299,2.7126900000000003,9.85697,14.5075,3.8631800000000003,19.8843,12.1978,6.37438
chr11:5302560-5302561,29.5522,6.39303,2.6903,9.86692,14.4652,3.84577,19.7823,12.1132,6.35945
chr11:5302561-5302562,29.3744,6.38806,2.6791,9.871889999999999,14.444,3.8370599999999997,19.7313,12.0709,6.35199
chr11:5302569-5302570,27.9515,6.34826,2.58955,9.91169,14.2749,3.76741,19.3234,11.7326,6.29229
chr11:5305317-5305318,17.5659,8.24129,0.893035,9.26493,16.1617,6.051,16.7102,12.2326,9.27736
chr11:5305368-5305369,22.2736,9.01866,0.813433,11.1828,18.4254,6.9005,18.1978,12.5087,9.83333
chr11:5305404-5305405,26.8756,9.39677,0.8258709999999999,12.3358,20.5771,7.7748800000000005,19.2351,12.6928,9.92164
chr11:5305405-5305406,27.0833,9.40174,0.828358,12.3557,20.6592,7.818410000000001,19.2711,12.7065,9.93035
chr11:5305406-5305407,27.291,9.40672,0.8308459999999999,12.3756,20.7413,7.86194,19.3072,12.7201,9.93905
chr11:5305407-5305408,27.4988,9.41169,0.833333,12.3955,20.8234,7.905469999999999,19.3433,12.7338,9.94776
chr11:5305408-5305409,27.7065,9.41667,0.8358209999999999,12.4154,20.9055,7.949,19.3794,12.7475,9.95647
chr11:5305409-5305410,27.9142,9.42164,0.8383079999999999,12.4353,20.9876,7.992539999999999,19.4154,12.7612,9.96517
chr11:5305410-5305411,28.1219,9.42662,0.8407959999999999,12.4552,21.0697,8.03607,19.4515,12.7749,9.97388
chr11:5306054-5306055,2399.94,23.1194,190.52700000000002,176.65200000000002,90.1716,401.19199999999995,355.086,188.37599999999998,303.711
chr11:5306056-5306057,2386.51,23.0647,189.433,176.095,90.09200000000001,400.41,354.755,187.898,302.975
chr11:5306066-5306067,2319.41,22.791,183.96,173.308,89.694,396.505,353.101,185.51,299.29400000000004
chr11:5308987-5308988,62.4254,6.04975,2.6107,10.8321,21.1542,10.1144,18.2313,12.550999999999998,10.5933
chr11:5308996-5308997,62.9851,6.3296,2.66667,11.1791,21.3109,10.4391,18.8694,12.4279,11.0634
chr11:5308997-5308998,63.0473,6.3607,2.67289,11.2177,21.3284,10.4751,18.9403,12.4142,11.1157
chr11:5309024-5309025,62.4527,7.35697,2.87065,12.6654,21.5535,12.5709,21.0547,12.5697,13.0945
chr11:5309026-5309027,62.3905,7.431589999999999,2.88557,12.7749,21.5684,12.7326,21.2114,12.5846,13.2438
chr11:5309027-5309028,62.3595,7.46891,2.89303,12.8296,21.5759,12.8134,21.2898,12.592,13.3184
chr11:5309033-5309034,62.1729,7.69279,2.93781,13.158,21.6206,13.2985,21.76,12.6368,13.7662
chr11:5309041-5309042,61.9241,7.991289999999999,2.9975099999999997,13.5958,21.6803,13.9453,22.3868,12.6965,14.3632
chr11:5309043-5309044,61.8619,8.06592,3.0124400000000002,13.7052,21.6953,14.107000000000001,22.5435,12.7114,14.5124
chr11:5309048-5309049,61.7065,8.25249,3.04975,13.9789,21.7326,14.5112,22.9353,12.7488,14.8856
