0,a6dde21a321f-Hudep2_ATAC,a346d0735668-Hudep2_D3_merged_CTCF.all,780e588038ba-Hudep2_BCL11A,e63441b3545d-Hudep2_D0_GATA1.all,7fbaaa4570af-HUDEP2_LRF_CHIP,e91e9285ac50-Hudep2_D3_merged_GATA1.all,a3269352a688-Hudep2_D3_merged_KLF1.all,bd23392c6917-Hudep2_D3_merged_LDB1.all,b887daf448d0-Hudep2_D3_merged_TAL1.all
chr11:4514612-4514613,278.985,56.2222,6.12346,10.1451,18.9228,7.787039999999999,8.200619999999999,5.95062,4.0864199999999995
chr11:4560994-4560995,76.7531,50.5833,1.78395,4.39815,9.85802,4.32407,9.35802,7.21605,4.60802
chr11:4560996-4560997,77.5247,50.9167,1.7716,4.43519,9.8642,4.34259,9.3642,7.2284,4.6142
chr11:4561023-4561024,88.4167,56.108000000000004,1.4321,5.06481,9.990739999999999,4.54938,9.36111,7.438269999999999,4.5246900000000005
chr11:4629078-4629079,234.75599999999997,11.8457,0.5802470000000001,3.9598800000000005,38.7747,6.21296,22.2623,10.7284,5.84259
chr11:4629151-4629152,412.38,12.1481,2.27778,6.39815,38.3241,7.9351899999999995,24.9352,10.3704,8.78704
chr11:4647582-4647583,122.16,75.4877,4.86728,5.3086400000000005,10.7253,2.42901,7.805560000000001,7.27469,5.67284
chr11:4647604-4647605,133.722,79.3333,3.9722199999999996,5.22222,10.75,2.36111,8.19444,7.25,5.88889
chr11:4647611-4647612,136.04,80.0031,3.7037,5.154319999999999,10.787,2.33333,8.30247,7.26852,5.904319999999999
chr11:4647612-4647613,136.312,80.0833,3.65432,5.1358,10.8056,2.3271599999999997,8.3179,7.27778,5.904319999999999
chr11:4658295-4658296,187.0,62.75,2.11111,5.86111,13.1389,2.25,6.805560000000001,7.72222,4.83333
chr11:4658347-4658348,203.09,64.9753,2.25,5.76543,12.2963,2.25,5.6635800000000005,6.0463,5.01543
chr11:5012413-5012414,178.29,47.3179,2.0,7.02469,12.1327,11.8272,5.85802,8.62037,5.5
chr11:5012415-5012416,182.648,47.9352,2.0,7.055560000000001,12.1883,11.9691,5.8642,8.66975,5.5
chr11:5012425-5012426,204.438,51.0216,2.0,7.20988,12.466,12.679,5.89506,8.91667,5.5
chr11:5012472-5012473,266.281,60.716,1.9598799999999998,7.7191399999999994,13.1574,14.9475,6.21914,9.58333,5.33951
chr11:5012481-5012482,274.003,62.3549,1.9321,7.83025,13.1852,15.2531,6.33025,9.66667,5.2284
chr11:5012483-5012484,275.719,62.7191,1.92593,7.854939999999999,13.1914,15.321,6.35494,9.685189999999999,5.2037
chr11:5108644-5108645,153.451,7.78395,2.1419799999999998,18.7623,20.8117,7.25617,8.89198,7.5,4.46605
chr11:5108646-5108647,154.605,7.7716,2.1358,18.8488,20.7438,7.29938,8.8858,7.5,4.4784
chr11:5108656-5108657,160.377,7.70988,2.10494,19.2809,20.4043,7.51543,8.85494,7.5,4.54012
chr11:5150730-5150731,108.336,7.620369999999999,6.9135800000000005,6.63272,13.4815,26.6204,7.9351899999999995,8.48765,6.2037
chr11:5150817-5150818,146.892,10.6698,6.48148,7.4537,13.8395,27.465999999999998,7.620369999999999,7.11728,8.08642
chr11:5150818-5150819,146.673,10.6883,6.45062,7.45988,13.8148,27.3827,7.623460000000001,7.10802,8.10185
chr11:5173045-5173046,886.056,15.2222,23.9444,138.889,38.7778,282.5,70.7778,183.111,191.222
chr11:5173047-5173048,894.5310000000001,15.2901,24.1358,139.77200000000002,38.821,283.444,71.0988,184.22799999999998,191.679
chr11:5173053-5173054,919.957,15.4938,24.7099,142.42,38.9506,286.278,72.0617,187.58,193.049
chr11:5173055-5173056,928.432,15.5617,24.9012,143.30200000000002,38.9938,287.222,72.3827,188.69799999999998,193.50599999999997
chr11:5173086-5173087,1142.55,17.1975,31.8673,165.06799999999998,39.2469,306.528,80.1914,212.265,205.92
chr11:5173087-5173088,1149.85,17.2531,32.1111,165.80900000000003,39.2531,307.173,80.4568,213.05599999999998,206.34599999999998
chr11:5173088-5173089,1157.15,17.3086,32.3549,166.549,39.2593,307.818,80.7222,213.84599999999998,206.77200000000002
chr11:5173106-5173107,1220.8,17.7654,35.213,172.821,39.0247,311.873,82.9321,219.13,210.78400000000002
chr11:5173110-5173111,1233.88,17.8549,35.9414,174.09900000000002,38.929,312.491,83.4105,219.926,211.65400000000002
chr11:5173163-5173164,1360.09,18.679000000000002,47.6451,186.753,36.3951,312.60200000000003,89.4691,218.09900000000002,221.40099999999998
chr11:5173165-5173166,1357.04,18.6914,47.9475,186.623,36.1914,311.88,89.4877,216.889,221.34599999999998
chr11:5173174-5173175,1343.29,18.7469,49.3086,186.04,35.2747,308.63,89.571,211.44400000000002,221.09599999999998
chr11:5173209-5173210,1274.16,18.9043,52.0216,182.247,32.3549,297.39799999999997,88.7809,192.735,218.59900000000002
chr11:5173231-5173232,1120.43,19.0401,50.1883,170.296,29.4352,281.17,84.5031,169.92,210.38299999999998
chr11:5181611-5181612,57.0309,2.81481,0.012345700000000001,13.963,8.14198,19.7284,8.17901,11.713,11.534
chr11:5186340-5186341,2.6543200000000002,2.38272,0.308642,8.08025,11.463,11.5586,2.0956799999999998,3.7716,6.1913599999999995
chr11:5186363-5186364,2.58333,2.71605,0.166667,7.55864,11.1883,11.3549,2.16667,3.37963,6.32099
chr11:5186382-5186383,2.52469,3.18519,0.0493827,7.0308600000000006,10.7191,10.9444,2.22531,2.9104900000000002,6.379630000000001
chr11:5186435-5186436,2.5,4.17901,0.0,6.611110000000001,9.26543,9.435189999999999,2.16975,2.3765400000000003,5.8642
chr11:5186437-5186438,2.5,4.22222,0.0,6.604939999999999,9.191360000000001,9.35494,2.16358,2.3642,5.82716
chr11:5186438-5186439,2.5,4.24383,0.0,6.60185,9.15432,9.314810000000001,2.1604900000000002,2.3580200000000002,5.8086400000000005
chr11:5226205-5226206,312.997,101.691,47.7469,8.925930000000001,24.642,4.64815,19.75,10.466,8.02778
chr11:5226215-5226216,338.13300000000004,102.086,49.3457,9.01852,24.5617,4.48148,19.7685,10.2932,8.25
chr11:5226216-5226217,341.065,102.09899999999999,49.5216,9.02778,24.5463,4.46605,19.7716,10.2685,8.26852
chr11:5226294-5226295,451.86699999999996,90.7901,50.9969,8.925930000000001,21.9537,4.57407,19.0278,8.3179,8.03395
chr11:5226296-5226297,451.18800000000005,90.321,50.7253,8.90741,21.8796,4.59259,18.9722,8.29321,8.0216
chr11:5226298-5226299,450.509,89.8519,50.4537,8.88889,21.8056,4.61111,18.9167,8.26852,8.009260000000001
chr11:5226305-5226306,448.13300000000004,88.2099,49.5031,8.824069999999999,21.5463,4.67593,18.7222,8.1821,7.96605
chr11:5245907-5245908,643.509,11.2593,12.7315,21.2685,53.4907,63.5833,38.5,27.7222,27.6759
chr11:5245945-5245946,694.6389999999999,10.5278,13.75,19.1389,53.8889,58.6389,38.3889,24.9444,28.7778
chr11:5245962-5245963,701.985,10.4043,13.75,18.6327,53.8364,56.678999999999995,38.2346,24.0617,28.6265
chr11:5245970-5245971,705.096,10.3056,13.75,18.4352,53.8117,54.678999999999995,37.9383,23.320999999999998,28.4537
chr11:5246236-5246237,713.059,8.89506,19.9506,16.8333,44.1512,23.0741,27.5247,19.3642,24.1698
chr11:5246237-5246238,712.3489999999999,8.8642,19.9537,16.8364,43.9969,23.0741,27.5093,19.4259,24.142
chr11:5246242-5246243,709.12,8.740739999999999,19.9444,16.8519,43.3426,23.1111,27.4444,19.6667,24.0463
chr11:5246244-5246245,708.0219999999999,8.70988,19.9259,16.858,43.1512,23.1481,27.4259,19.7222,24.034000000000002
chr11:5246246-5246247,706.923,8.67901,19.9074,16.8642,42.9599,23.1852,27.4074,19.7778,24.0216
chr11:5246279-5246280,665.09,8.10802,19.1698,16.6574,37.4568,23.4877,26.8549,20.9414,23.2623
chr11:5246280-5246281,663.355,8.08951,19.1389,16.6451,37.2438,23.4907,26.8333,20.9815,23.2284
chr11:5246293-5246294,642.4540000000001,7.895060000000001,18.7654,16.4753,34.7623,23.4753,26.5802,21.4198,22.8056
chr11:5246294-5246295,641.269,7.89198,18.7438,16.4599,34.6451,23.4599,26.5679,21.4321,22.7778
chr11:5246314-5246315,613.1669999999999,7.876539999999999,18.0802,16.0741,31.929000000000002,23.0278,26.3673,21.6944,22.1296
chr11:5246896-5246897,692.91,15.4784,40.8241,46.4907,41.1574,41.9691,36.2932,21.75,21.3704
chr11:5246901-5246902,701.074,15.5093,41.6111,46.8611,41.1111,42.3704,36.2315,21.75,21.5556
chr11:5246905-5246906,707.605,15.534,42.2407,47.1574,41.0741,42.6914,36.1821,21.75,21.7037
chr11:5246906-5246907,709.238,15.5401,42.3981,47.2315,41.0648,42.7716,36.1698,21.75,21.7407
chr11:5246908-5246909,712.503,15.5525,42.713,47.3796,41.0463,42.9321,36.1451,21.75,21.8148
chr11:5246959-5246960,762.898,15.9043,47.4414,49.9043,40.287,45.5,35.9043,22.0586,24.6975
chr11:5246963-5246964,755.8489999999999,15.929,46.9722,49.608000000000004,40.1512,45.4259,35.9167,22.2068,24.9074
chr11:5246966-5246967,750.562,15.9475,46.6204,49.3858,40.0494,45.3704,35.9259,22.3179,25.0648
chr11:5246970-5246971,743.512,15.9722,46.1512,49.0895,39.9136,45.2963,35.9383,22.465999999999998,25.2747
chr11:5248367-5248368,2377.34,17.6204,32.5957,23.3827,41.1049,53.0278,99.7901,24.1543,32.716
chr11:5248398-5248399,2219.81,16.4259,30.8889,22.3056,36.25,50.5741,98.0093,24.1296,30.0926
chr11:5248436-5248437,1886.01,14.5525,28.9537,19.5648,32.0833,47.8642,89.0247,23.929000000000002,25.6636
chr11:5248437-5248438,1875.32,14.4969,28.8858,19.4784,31.963,47.784,88.7284,23.9228,25.5247
chr11:5248456-5248457,1738.39,13.9846,27.7438,18.429000000000002,31.0093,47.0494,84.5309,23.8549,23.8735
chr11:5249150-5249151,117.321,7.00617,5.120369999999999,11.6327,16.2685,30.6512,21.1389,12.2469,5.99691
chr11:5249152-5249153,117.605,7.0308600000000006,5.10185,11.6636,16.3426,30.7562,21.1944,12.2346,5.98457
chr11:5249162-5249163,118.09899999999999,7.19136,4.98148,11.8086,16.787,31.1698,21.4907,12.1451,5.904319999999999
chr11:5255877-5255878,445.75,22.6019,12.892000000000001,37.3704,14.5833,169.99400000000003,15.3179,24.4599,25.7346
chr11:5255968-5255969,283.525,17.8796,10.0278,41.8704,14.0833,167.54,17.1451,23.5123,21.1142
chr11:5263459-5263460,71.9167,7.462960000000001,6.5216,8.2716,13.2654,15.1759,5.96296,14.1975,8.925930000000001
chr11:5263461-5263462,72.1759,7.48765,6.577160000000001,8.32099,13.2469,15.2438,6.01235,14.2778,8.97531
chr11:5263466-5263467,72.8241,7.54938,6.71605,8.44444,13.2006,15.4136,6.1358,14.4784,9.09877
chr11:5263467-5263468,72.9537,7.561730000000001,6.74383,8.46914,13.1914,15.4475,6.16049,14.5185,9.123460000000001
chr11:5263505-5263506,76.6296,7.89198,7.5679,9.175930000000001,13.2099,16.4599,6.95988,15.534,9.78395
chr11:5263506-5263507,76.6759,7.895060000000001,7.58025,9.185189999999999,13.2253,16.4753,6.97531,15.5401,9.79012
chr11:5263513-5263514,77.1852,7.89198,7.69136,9.27469,13.3086,16.6204,7.120369999999999,15.5216,9.85802
chr11:5263515-5263516,77.3704,7.8858,7.7284,9.30556,13.3272,16.6698,7.16975,15.5031,9.882719999999999
chr11:5263541-5263542,79.7315,7.80247,8.19753,9.69753,13.5525,17.2963,7.7963,15.2562,10.1975
chr11:5263542-5263543,79.7778,7.7963,8.2037,9.7037,13.5463,17.3056,7.805560000000001,15.2407,10.2037
chr11:5263598-5263599,78.5093,7.379630000000001,8.37963,9.63889,12.8889,17.75,8.85185,13.2963,10.6204
chr11:5263610-5263611,77.21600000000001,7.3364199999999995,8.32099,9.51543,12.7809,17.715999999999998,9.03395,12.892000000000001,10.6358
chr11:5263621-5263622,73.821,7.23457,8.049380000000001,9.27778,12.713,17.3426,9.16975,12.179,10.4321
chr11:5263624-5263625,72.8951,7.20679,7.97531,9.21296,12.6944,17.2407,9.20679,11.9846,10.3765
chr11:5264340-5264341,76.1481,3.19136,5.13272,4.25,11.287,2.0,8.382719999999999,7.904319999999999,5.5
chr11:5264375-5264376,89.4537,3.7037,5.71296,4.25,11.9074,2.14815,8.91358,7.64815,5.30247
chr11:5264384-5264385,93.8704,3.92593,5.90741,4.25,12.1574,2.23148,9.08025,7.537039999999999,5.1913599999999995
chr11:5264411-5264412,100.988,4.49383,6.20679,4.25617,12.7253,2.51235,9.314810000000001,7.25617,4.85802
chr11:5264421-5264422,102.5,4.83333,6.17593,4.28704,12.9722,2.75926,9.34568,7.10185,4.73457
chr11:5264761-5264762,89.0864,5.76235,4.49383,5.24383,16.3333,4.26852,10.8025,4.68519,2.10185
chr11:5264805-5264806,107.88600000000001,6.70988,3.6821,4.4321,17.4599,4.0,9.89815,5.3179,2.95988
chr11:5265117-5265118,50.4599,5.50926,2.48457,6.0216,10.6605,3.2777800000000004,3.02469,7.962960000000001,3.46605
chr11:5265129-5265130,45.1265,5.32407,2.3734599999999997,5.91049,10.3272,3.46296,3.06173,7.85185,3.5030900000000003
chr11:5265161-5265162,36.4321,5.07716,1.94753,5.67284,9.691360000000001,3.9104900000000002,3.2037,7.77469,3.7438300000000004
chr11:5265168-5265169,34.4012,5.01235,1.8395099999999998,5.60802,9.56173,4.061730000000001,3.3765400000000003,7.861110000000001,3.85185
chr11:5265169-5265170,34.1111,5.00309,1.82407,5.59877,9.54321,4.08333,3.4012300000000004,7.873460000000001,3.8672800000000005
chr11:5265172-5265173,33.2407,4.9753099999999995,1.77778,5.57099,9.48765,4.14815,3.47531,7.910489999999999,3.9135800000000005
chr11:5265967-5265968,474.716,5.79938,19.9259,26.25,18.465999999999998,54.1698,26.1883,20.9414,19.534000000000002
chr11:5265968-5265969,480.022,5.80556,20.0926,26.3117,18.4259,54.4167,26.2377,21.0648,19.6451
chr11:5265970-5265971,490.63300000000004,5.8179,20.4259,26.4352,18.3457,54.9105,26.3364,21.3117,19.8673
chr11:5265973-5265974,506.54900000000004,5.8364199999999995,20.9259,26.6204,18.2253,55.6512,26.4846,21.6821,20.2006
chr11:5265975-5265976,517.16,5.84877,21.2593,26.7438,18.1451,56.1451,26.5833,21.929000000000002,20.4228
chr11:5266009-5266010,640.256,6.0586400000000005,24.9907,28.0802,16.9568,61.9012,27.6759,24.7191,22.9105
chr11:5266055-5266056,774.855,7.24383,25.8642,29.6019,16.4259,67.0957,27.6821,26.534000000000002,25.9537
chr11:5266065-5266066,781.423,7.60802,25.0617,29.9352,16.4815,67.3673,27.3364,26.392,26.4352
chr11:5266067-5266068,781.7689999999999,7.70062,24.8272,30.0216,16.4877,67.4043,27.2377,26.3364,26.5463
chr11:5266509-5266510,20.0278,3.78704,4.25,13.5,13.037,8.53704,10.75,8.91975,5.1913599999999995
chr11:5266510-5266511,20.1049,3.7777800000000004,4.24074,13.5031,13.0309,8.52469,10.7623,8.873460000000001,5.17284
chr11:5266511-5266512,20.1821,3.7685199999999996,4.23148,13.5062,13.0247,8.51235,10.7747,8.827160000000001,5.154319999999999
chr11:5266557-5266558,22.787,3.5,3.80556,13.6481,12.8981,8.10185,11.3426,7.0648100000000005,4.40741
chr11:5296477-5296478,9.66975,10.5093,2.39506,7.45062,10.4414,3.6604900000000002,14.284,11.0494,6.12346
chr11:5296526-5296527,11.9321,12.6358,2.75926,8.175930000000001,12.4444,4.26852,15.9691,13.2932,8.126539999999999
chr11:5296537-5296538,12.4074,13.2809,2.8271599999999997,8.41358,13.0895,4.404319999999999,16.4444,14.0401,8.7037
chr11:5297162-5297163,989.34,20.3241,56.0154,76.3858,48.9475,197.72799999999998,84.5926,47.7593,69.858
chr11:5297168-5297169,1038.08,20.9167,58.2377,77.3858,48.8735,198.72799999999998,84.7222,48.5926,69.9136
chr11:5297170-5297171,1054.33,21.1142,58.9784,77.7191,48.8488,199.062,84.7654,48.8704,69.9321
chr11:5297171-5297172,1062.45,21.213,59.3488,77.8858,48.8364,199.22799999999998,84.787,49.0093,69.9414
chr11:5297172-5297173,1070.57,21.3117,59.7191,78.0525,48.8241,199.395,84.8086,49.1481,69.9506
chr11:5297273-5297274,1269.29,25.9784,65.1944,75.5895,40.2562,179.43200000000002,76.0062,50.6049,60.9259
chr11:5297274-5297275,1264.5,25.9753,64.8889,75.3426,40.0679,178.78400000000002,75.7685,50.4753,60.6883
chr11:5302001-5302002,1612.66,25.0926,145.306,79.3981,69.1111,131.491,568.4259999999999,210.88,149.583
chr11:5302474-5302475,45.6636,8.425930000000001,3.19444,9.759260000000001,16.5741,5.05556,27.6173,15.8765,7.75926
chr11:5302483-5302484,43.7747,8.03704,3.13889,9.59259,16.2963,4.72222,25.5895,15.321,7.2037
chr11:5302494-5302495,41.8611,7.6358,3.1080200000000002,9.425930000000001,15.9938,4.42593,23.6914,14.7778,6.70988
chr11:5302519-5302520,37.9105,6.895060000000001,3.1543200000000002,9.3179,15.2685,4.1635800000000005,21.4074,13.8364,6.41667
chr11:5302520-5302521,37.6821,6.85802,3.1543200000000002,9.32099,15.2284,4.15123,21.2994,13.784,6.41049
chr11:5302521-5302522,37.4537,6.820989999999999,3.1543200000000002,9.324069999999999,15.1883,4.13889,21.1914,13.7315,6.404319999999999
chr11:5302522-5302523,37.2253,6.78395,3.1543200000000002,9.327160000000001,15.1481,4.12654,21.0833,13.679,6.39815
chr11:5302555-5302556,31.3549,5.9321,3.1080200000000002,9.5679,14.1481,3.85802,18.7222,12.3642,6.42593
chr11:5302558-5302559,31.0031,5.89506,3.09877,9.60494,14.0926,3.8487699999999996,18.6389,12.2901,6.4537
chr11:5302560-5302561,30.6296,5.86728,3.08025,9.6358,14.0556,3.8364199999999995,18.5741,12.216,6.45988
chr11:5302561-5302562,30.3735,5.85185,3.06481,9.65432,14.037,3.8271599999999997,18.537,12.1667,6.45679
chr11:5302569-5302570,28.3241,5.7284,2.94136,9.80247,13.8889,3.7530900000000003,18.2407,11.7716,6.4321
chr11:5305317-5305318,17.6728,8.46914,0.975309,9.03704,15.8179,6.404319999999999,17.0772,12.4753,10.0957
chr11:5305368-5305369,21.215999999999998,9.2963,0.7901229999999999,11.5154,17.6358,6.40123,18.1574,12.3457,10.0802
chr11:5305404-5305405,23.8333,9.5,0.611111,12.9722,19.5556,6.66667,18.8056,12.3889,9.72222
chr11:5305405-5305406,23.8796,9.5,0.608025,12.9938,19.5957,6.67593,18.8179,12.392000000000001,9.71605
chr11:5305406-5305407,23.9259,9.5,0.604938,13.0154,19.6358,6.6851899999999995,18.8302,12.3951,9.70988
chr11:5305407-5305408,23.9722,9.5,0.601852,13.037,19.6759,6.694439999999999,18.8426,12.3981,9.7037
chr11:5305408-5305409,24.0185,9.5,0.598765,13.0586,19.715999999999998,6.7037,18.8549,12.4012,9.69753
chr11:5305409-5305410,24.0648,9.5,0.595679,13.0802,19.7562,6.712960000000001,18.8673,12.4043,9.691360000000001
chr11:5305410-5305411,24.2654,9.50309,0.598765,13.1019,19.858,6.76543,18.9043,12.4167,9.685189999999999
chr11:5306054-5306055,2627.58,23.7778,211.333,189.833,90.8333,418.333,375.889,203.69400000000002,318.25
chr11:5306056-5306057,2619.01,23.7346,210.593,189.593,90.8148,418.093,375.95099999999996,203.55900000000003,317.972
chr11:5306066-5306067,2523.94,23.3241,202.827,185.926,90.7006,413.994,373.645,200.352,313.796
chr11:5308987-5308988,66.96600000000001,5.73148,2.4321,10.3179,21.3858,9.41358,18.5525,11.9691,10.463
chr11:5308996-5308997,66.9938,6.02778,2.57099,10.642000000000001,21.570999999999998,9.66358,19.0988,11.7932,10.963
chr11:5308997-5308998,66.9599,6.05556,2.58642,10.6728,21.5864,9.68827,19.142,11.7809,11.0093
chr11:5309024-5309025,65.0247,7.26852,3.0493799999999998,12.1543,22.0494,11.0957,21.0031,11.5864,12.7685
chr11:5309026-5309027,64.821,7.3858,3.08642,12.3025,22.0864,11.2438,21.1821,11.5802,12.929
chr11:5309027-5309028,64.7191,7.444439999999999,3.10494,12.3765,22.1049,11.3179,21.2716,11.5772,13.0093
chr11:5309033-5309034,64.108,7.7963,3.21605,12.821,22.215999999999998,11.7623,21.8086,11.5586,13.4907
chr11:5309041-5309042,63.3272,8.23765,3.3487699999999996,13.3827,22.3488,12.3302,22.4815,11.5463,14.0864
chr11:5309043-5309044,63.1914,8.299380000000001,3.35494,13.4691,22.3549,12.429,22.5741,11.5648,14.1543
chr11:5309048-5309049,62.8519,8.4537,3.37037,13.6852,22.3704,12.6759,22.8056,11.6111,14.3241
chr11:5309049-5309050,62.784,8.48457,3.3734599999999997,13.7284,22.3735,12.7253,22.8519,11.6204,14.357999999999999
