0,6fd154c2e0cb-Hudep2_ATAC,9c6896724a71-Hudep2_D3_merged_CTCF.all,55047d5ca206-Hudep2_BCL11A,502aa7971c4b-Hudep2_D0_GATA1.all,8f98ac7fc54d-HUDEP2_LRF_CHIP,18349b65b5e8-Hudep2_D3_merged_GATA1.all,f8027f92e467-Hudep2_D3_merged_KLF1.all,f797f04f53e6-Hudep2_D3_merged_LDB1.all,730a8742155d-Hudep2_D3_merged_TAL1.all
chr11:4218202-4218203,36.7045,4.68182,1.04545,8.090910000000001,10.8409,10.5682,8.38636,8.409089999999999,7.47727
chr11:4218204-4218205,38.0682,4.72727,1.18182,7.863639999999999,11.1136,10.5227,8.29545,8.63636,7.659089999999999
chr11:4218212-4218213,38.75,4.75,1.25,7.75,11.25,10.5,8.25,8.75,7.75
chr11:4218233-4218234,38.75,4.75,1.25,7.75,11.25,10.5,8.25,8.75,7.75
chr11:4218234-4218235,38.75,4.75,1.25,7.75,11.25,10.5,8.25,8.75,7.75
chr11:4218236-4218237,38.75,4.75,1.25,7.75,11.25,10.5,8.25,8.75,7.75
chr11:4218245-4218246,39.0682,4.72727,1.34091,7.613639999999999,11.5455,10.4091,8.272730000000001,8.772730000000001,7.68182
chr11:4218255-4218256,42.25,4.5,2.25,6.25,14.5,9.5,8.5,9.0,7.0
chr11:4218313-4218314,39.25,5.75,2.75,4.75,16.0,8.25,9.0,8.25,5.75
chr11:4218320-4218321,39.25,5.75,2.75,4.75,16.0,8.25,9.0,8.25,5.75
chr11:4353277-4353278,95.0,5.75,1.5,6.75,9.5,6.0,5.0,10.75,5.25
chr11:4353278-4353279,95.0,5.75,1.5,6.75,9.5,6.0,5.0,10.75,5.25
chr11:4353280-4353281,95.0,5.75,1.5,6.75,9.5,6.0,5.0,10.75,5.25
chr11:4353287-4353288,95.0,5.75,1.5,6.75,9.5,6.0,5.0,10.75,5.25
chr11:4353301-4353302,104.227,5.59091,1.18182,7.863639999999999,8.70455,6.636360000000001,4.20455,10.5909,6.20455
chr11:4353319-4353320,109.5,5.5,1.0,8.5,8.25,7.0,3.75,10.5,6.75
chr11:4353343-4353344,109.5,5.5,1.0,8.5,8.25,7.0,3.75,10.5,6.75
chr11:4403276-4403277,298.5,7.0,2.75,4.25,9.0,17.75,11.75,13.5,8.75
chr11:4403325-4403326,404.0,8.0,3.5,4.5,7.5,20.25,13.0,17.0,12.5
chr11:4403327-4403328,404.0,8.0,3.5,4.5,7.5,20.25,13.0,17.0,12.5
chr11:4403334-4403335,404.0,8.0,3.5,4.5,7.5,20.25,13.0,17.0,12.5
chr11:4403346-4403347,406.955,8.0,3.59091,4.54545,7.636360000000001,20.25,13.2727,17.2727,13.0455
chr11:4403348-4403349,409.909,8.0,3.6818199999999996,4.59091,7.77273,20.25,13.5455,17.5455,13.5909
chr11:4403350-4403351,412.86400000000003,8.0,3.77273,4.63636,7.909089999999999,20.25,13.8182,17.8182,14.1364
chr11:4403356-4403357,420.25,8.0,4.0,4.75,8.25,20.25,14.5,18.5,15.5
chr11:4514612-4514613,311.5,60.5,7.5,10.25,19.25,8.5,8.25,6.0,4.25
chr11:4560994-4560995,63.25,44.75,2.0,3.75,9.75,4.0,9.25,7.0,4.5
chr11:4560996-4560997,68.9318,47.2045,1.9090900000000002,4.02273,9.79545,4.13636,9.29545,7.090910000000001,4.54545
chr11:4561023-4561024,94.5,58.25,1.5,5.25,10.0,4.75,9.5,7.5,4.75
chr11:4629078-4629079,220.75,12.0,0.25,3.75,39.25,6.25,22.25,10.75,5.5
chr11:4629151-4629152,425.13599999999997,12.2955,2.45455,6.54545,38.0,8.31818,25.3182,10.3409,9.022730000000001
chr11:4647582-4647583,117.75,74.75,5.5,5.5,10.75,2.5,7.5,7.25,5.75
chr11:4647604-4647605,143.886,82.25,3.0,5.04545,10.75,2.27273,8.63636,7.25,5.97727
chr11:4647611-4647612,146.5,83.0,2.75,5.0,10.75,2.25,8.75,7.25,6.0
chr11:4647612-4647613,146.5,83.0,2.75,5.0,10.75,2.25,8.75,7.25,6.0
chr11:4658295-4658296,173.477,60.3636,2.02273,5.77273,13.2273,2.25,7.159089999999999,8.340910000000001,4.56818
chr11:4658347-4658348,205.25,65.6136,2.25,5.86364,12.5909,2.25,5.90909,6.34091,5.11364
chr11:5012413-5012414,207.75,51.25,2.0,7.25,12.5,12.5,5.75,9.0,5.5
chr11:5012415-5012416,207.75,51.25,2.0,7.25,12.5,12.5,5.75,9.0,5.5
chr11:5012425-5012426,207.75,51.25,2.0,7.25,12.5,12.5,5.75,9.0,5.5
chr11:5012472-5012473,284.5,62.75,2.0,7.75,13.5,15.75,6.25,9.75,5.5
chr11:5012481-5012482,284.5,62.75,2.0,7.75,13.5,15.75,6.25,9.75,5.5
chr11:5012483-5012484,284.5,62.75,2.0,7.75,13.5,15.75,6.25,9.75,5.5
chr11:5108644-5108645,133.25,8.0,2.25,17.25,22.0,6.5,9.0,7.5,4.25
chr11:5108646-5108647,141.75,7.909089999999999,2.20455,17.8864,21.5,6.81818,8.95455,7.5,4.34091
chr11:5108656-5108657,180.0,7.5,2.0,20.75,19.25,8.25,8.75,7.5,4.75
chr11:5150730-5150731,103.5,7.25,7.0,6.5,13.5,26.75,8.0,8.75,6.0
chr11:5150817-5150818,150.75,11.0,6.25,7.5,13.75,27.75,7.5,7.0,8.25
chr11:5150818-5150819,150.75,11.0,6.25,7.5,13.75,27.75,7.5,7.0,8.25
chr11:5173045-5173046,764.705,14.25,21.2045,126.25,38.1591,268.97700000000003,66.1818,167.114,184.68200000000002
chr11:5173047-5173048,827.1139999999999,14.75,22.6136,132.75,38.4773,275.932,68.5455,175.34099999999998,188.045
chr11:5173053-5173054,1014.34,16.25,26.8409,152.25,39.4318,296.795,75.6364,200.023,198.136
chr11:5173055-5173056,1076.75,16.75,28.25,158.75,39.75,303.75,78.0,208.25,201.5
chr11:5173086-5173087,1076.75,16.75,28.25,158.75,39.75,303.75,78.0,208.25,201.5
chr11:5173087-5173088,1076.75,16.75,28.25,158.75,39.75,303.75,78.0,208.25,201.5
chr11:5173088-5173089,1076.75,16.75,28.25,158.75,39.75,303.75,78.0,208.25,201.5
chr11:5173106-5173107,1325.0,18.5,40.25,183.0,38.5,317.75,86.5,227.0,217.5
chr11:5173110-5173111,1325.0,18.5,40.25,183.0,38.5,317.75,86.5,227.0,217.5
chr11:5173163-5173164,1391.75,18.75,51.25,189.5,35.75,311.75,91.25,216.5,224.0
chr11:5173165-5173166,1391.75,18.75,51.25,189.5,35.75,311.75,91.25,216.5,224.0
chr11:5173174-5173175,1391.75,18.75,51.25,189.5,35.75,311.75,91.25,216.5,224.0
chr11:5173209-5173210,1201.25,19.0,52.5,177.75,30.25,288.5,87.25,178.0,215.25
chr11:5173231-5173232,1201.25,19.0,52.5,177.75,30.25,288.5,87.25,178.0,215.25
chr11:5181611-5181612,59.5,3.0,0.0,14.25,8.5,19.5,7.75,11.5,11.25
chr11:5186340-5186341,2.75,2.0,0.5,8.75,11.75,11.75,2.0,4.25,6.0
chr11:5186363-5186364,2.5,3.0,0.0,7.0,11.0,11.25,2.25,3.0,6.5
chr11:5186382-5186383,2.5,3.0,0.0,7.0,11.0,11.25,2.25,3.0,6.5
chr11:5186435-5186436,2.5,4.0,0.0,6.5,9.75,10.0,2.25,2.25,6.25
chr11:5186437-5186438,2.5,4.0,0.0,6.5,9.75,10.0,2.25,2.25,6.25
chr11:5186438-5186439,2.5,4.0,0.0,6.5,9.75,10.0,2.25,2.25,6.25
chr11:5226205-5226206,379.0,104.5,52.5,9.25,24.75,4.0,19.75,10.25,9.0
chr11:5226215-5226216,379.0,104.5,52.5,9.25,24.75,4.0,19.75,10.25,9.0
chr11:5226216-5226217,379.0,104.5,52.5,9.25,24.75,4.0,19.75,10.25,9.0
chr11:5226294-5226295,463.75,99.0,55.75,9.25,23.25,4.25,20.0,8.75,8.25
chr11:5226296-5226297,458.75,95.5455,53.75,9.11364,22.7045,4.38636,19.5909,8.56818,8.159089999999999
chr11:5226298-5226299,453.75,92.0909,51.75,8.977269999999999,22.1591,4.52273,19.1818,8.38636,8.06818
chr11:5226305-5226306,436.25,80.0,44.75,8.5,20.25,5.0,17.75,7.75,7.75
chr11:5245907-5245908,678.75,10.75,13.75,20.25,54.0,61.75,38.5,26.5,29.0
chr11:5245945-5245946,682.0,10.7045,13.75,20.0227,53.9773,61.1136,38.4773,26.1818,28.9545
chr11:5245962-5245963,714.5,10.25,13.75,17.75,53.75,54.75,38.25,23.0,28.5
chr11:5245970-5245971,714.5,10.25,13.75,17.75,53.75,54.75,38.25,23.0,28.5
chr11:5246236-5246237,727.25,9.25,20.25,16.75,46.5,22.5,27.75,18.75,24.25
chr11:5246237-5246238,727.25,9.25,20.25,16.75,46.5,22.5,27.75,18.75,24.25
chr11:5246242-5246243,727.25,9.25,20.25,16.75,46.5,22.5,27.75,18.75,24.25
chr11:5246244-5246245,727.25,9.25,20.25,16.75,46.5,22.5,27.75,18.75,24.25
chr11:5246246-5246247,719.159,9.022730000000001,20.1136,16.7955,45.0909,22.7727,27.6136,19.1591,24.1591
chr11:5246279-5246280,682.75,8.0,19.5,17.0,38.75,24.0,27.0,21.0,23.75
chr11:5246280-5246281,682.75,8.0,19.5,17.0,38.75,24.0,27.0,21.0,23.75
chr11:5246293-5246294,682.75,8.0,19.5,17.0,38.75,24.0,27.0,21.0,23.75
chr11:5246294-5246295,682.75,8.0,19.5,17.0,38.75,24.0,27.0,21.0,23.75
chr11:5246314-5246315,586.75,7.75,17.75,15.75,29.25,22.75,26.0,22.0,21.5
chr11:5246896-5246897,656.545,15.3409,37.3182,44.8409,41.3636,40.1818,36.5682,21.75,20.5455
chr11:5246901-5246902,716.659,15.5682,43.1136,47.5682,41.0227,43.1364,36.1136,21.75,21.9091
chr11:5246905-5246906,764.75,15.75,47.75,49.75,40.75,45.5,35.75,21.75,23.0
chr11:5246906-5246907,764.75,15.75,47.75,49.75,40.75,45.5,35.75,21.75,23.0
chr11:5246908-5246909,764.75,15.75,47.75,49.75,40.75,45.5,35.75,21.75,23.0
chr11:5246959-5246960,761.75,16.0,47.25,50.0,40.0,45.5,36.0,22.25,25.75
chr11:5246963-5246964,761.75,16.0,47.25,50.0,40.0,45.5,36.0,22.25,25.75
chr11:5246966-5246967,761.75,16.0,47.25,50.0,40.0,45.5,36.0,22.25,25.75
chr11:5246970-5246971,761.75,16.0,47.25,50.0,40.0,45.5,36.0,22.25,25.75
chr11:5248367-5248368,2380.75,17.75,31.25,23.75,39.5,52.5,101.5,24.25,32.5
chr11:5248398-5248399,2259.2,16.75,30.9773,22.6591,37.0455,51.0455,98.8636,24.1591,30.6818
chr11:5248436-5248437,2046.5,15.0,30.5,20.75,32.75,48.5,94.25,24.0,27.5
chr11:5248437-5248438,2046.5,15.0,30.5,20.75,32.75,48.5,94.25,24.0,27.5
chr11:5248456-5248457,1515.5,13.25,25.75,16.75,29.75,46.0,77.5,23.75,21.25
chr11:5249150-5249151,117.773,7.04545,5.09091,11.6818,16.3864,30.8182,21.2273,12.2273,5.97727
chr11:5249152-5249153,119.86399999999999,7.22727,4.95455,11.9091,16.9318,31.5909,21.6364,12.1364,5.88636
chr11:5249162-5249163,123.0,7.5,4.75,12.25,17.75,32.75,22.25,12.0,5.75
chr11:5255877-5255878,465.75,22.75,13.25,37.5,14.75,172.5,15.0,24.25,26.5
chr11:5255968-5255969,268.25,17.25,9.75,42.75,14.0,167.5,17.25,23.5,20.5
chr11:5263459-5263460,74.5,7.75,7.0,8.75,12.5,15.75,6.25,15.25,9.5
chr11:5263461-5263462,74.5,7.75,7.0,8.75,12.5,15.75,6.25,15.25,9.5
chr11:5263466-5263467,74.5,7.75,7.0,8.75,12.5,15.75,6.25,15.25,9.5
chr11:5263467-5263468,74.5,7.75,7.0,8.75,12.5,15.75,6.25,15.25,9.5
chr11:5263505-5263506,78.25,8.0,8.0,9.5,13.75,17.0,7.5,15.75,10.0
chr11:5263506-5263507,78.25,8.0,8.0,9.5,13.75,17.0,7.5,15.75,10.0
chr11:5263513-5263514,78.25,8.0,8.0,9.5,13.75,17.0,7.5,15.75,10.0
chr11:5263515-5263516,78.25,8.0,8.0,9.5,13.75,17.0,7.5,15.75,10.0
chr11:5263541-5263542,78.25,8.0,8.0,9.5,13.75,17.0,7.5,15.75,10.0
chr11:5263542-5263543,78.25,8.0,8.0,9.5,13.75,17.0,7.5,15.75,10.0
chr11:5263598-5263599,79.3636,7.409089999999999,8.409089999999999,9.727269999999999,12.9773,17.75,8.70455,13.5909,10.5909
chr11:5263610-5263611,74.75,7.25,8.25,9.25,12.5,17.75,9.5,12.0,10.75
chr11:5263621-5263622,74.75,7.25,8.25,9.25,12.5,17.75,9.5,12.0,10.75
chr11:5263624-5263625,74.75,7.25,8.25,9.25,12.5,17.75,9.5,12.0,10.75
chr11:5264340-5264341,67.25,3.0,4.75,4.25,11.0,2.0,8.0,8.0,5.5
chr11:5264375-5264376,90.5,3.5,5.75,4.25,11.75,2.0,9.0,7.75,5.5
chr11:5264384-5264385,90.5,3.5,5.75,4.25,11.75,2.0,9.0,7.75,5.5
chr11:5264411-5264412,107.0,5.0,6.5,4.25,13.25,2.75,9.5,7.0,4.5
chr11:5264421-5264422,107.0,5.0,6.5,4.25,13.25,2.75,9.5,7.0,4.5
chr11:5264761-5264762,95.25,6.0,4.25,5.0,16.75,4.0,10.75,4.75,2.25
chr11:5264805-5264806,117.5,7.25,3.25,4.0,18.0,4.0,9.25,5.75,3.5
chr11:5265117-5265118,45.5,5.25,2.75,6.0,10.5,3.25,3.0,7.75,3.25
chr11:5265129-5265130,45.5,5.25,2.75,6.0,10.5,3.25,3.0,7.75,3.25
chr11:5265161-5265162,31.75,5.0,1.5,5.5,9.25,4.25,3.25,7.75,4.0
chr11:5265168-5265169,31.75,5.0,1.5,5.5,9.25,4.25,3.25,7.75,4.0
chr11:5265169-5265170,31.75,5.0,1.5,5.5,9.25,4.25,3.25,7.75,4.0
chr11:5265172-5265173,31.75,5.0,1.5,5.5,9.25,4.25,3.25,7.75,4.0
chr11:5265967-5265968,525.75,5.75,21.75,27.0,18.5,56.5,26.75,22.25,20.75
chr11:5265968-5265969,525.75,5.75,21.75,27.0,18.5,56.5,26.75,22.25,20.75
chr11:5265970-5265971,525.75,5.75,21.75,27.0,18.5,56.5,26.75,22.25,20.75
chr11:5265973-5265974,525.75,5.75,21.75,27.0,18.5,56.5,26.75,22.25,20.75
chr11:5265975-5265976,525.75,5.75,21.75,27.0,18.5,56.5,26.75,22.25,20.75
chr11:5266009-5266010,711.25,6.25,27.0,28.75,16.0,65.25,28.25,26.25,24.25
chr11:5266055-5266056,823.25,8.0,25.0,30.25,16.75,68.5,27.25,26.75,27.25
chr11:5266065-5266066,823.25,8.0,25.0,30.25,16.75,68.5,27.25,26.75,27.25
chr11:5266067-5266068,823.25,8.0,25.0,30.25,16.75,68.5,27.25,26.75,27.25
chr11:5266509-5266510,21.75,3.5,4.25,13.5,12.75,8.25,10.75,8.25,5.0
chr11:5266510-5266511,21.75,3.5,4.25,13.5,12.75,8.25,10.75,8.25,5.0
chr11:5266511-5266512,21.75,3.5,4.25,13.5,12.75,8.25,10.75,8.25,5.0
chr11:5266557-5266558,23.5,3.5,3.5,13.75,13.0,8.0,11.75,6.25,4.0
chr11:5296477-5296478,9.5,10.25,2.5,7.5,9.75,3.75,14.0,10.75,6.0
chr11:5296526-5296527,12.25,12.5,2.75,8.0,12.5,4.25,16.0,13.0,8.0
chr11:5296537-5296538,12.25,12.5,2.75,8.0,12.5,4.25,16.0,13.0,8.0
chr11:5297162-5297163,1121.5,21.75,62.75,80.0,49.75,204.5,86.25,50.5,70.5
chr11:5297168-5297169,1121.5,21.75,62.75,80.0,49.75,204.5,86.25,50.5,70.5
chr11:5297170-5297171,1121.5,21.75,62.75,80.0,49.75,204.5,86.25,50.5,70.5
chr11:5297171-5297172,1121.5,21.75,62.75,80.0,49.75,204.5,86.25,50.5,70.5
chr11:5297172-5297173,1121.5,21.75,62.75,80.0,49.75,204.5,86.25,50.5,70.5
chr11:5297273-5297274,1315.25,26.5,67.75,76.75,40.5,182.0,76.75,51.75,61.0
chr11:5297274-5297275,1315.25,26.5,67.75,76.75,40.5,182.0,76.75,51.75,61.0
chr11:5302001-5302002,1608.09,24.8864,142.477,77.9545,69.0227,129.841,563.182,206.136,146.93200000000002
chr11:5302474-5302475,45.75,8.5,3.0,9.75,16.75,4.75,26.5,15.75,7.25
chr11:5302483-5302484,45.75,8.5,3.0,9.75,16.75,4.75,26.5,15.75,7.25
chr11:5302494-5302495,45.75,8.5,3.0,9.75,16.75,4.75,26.5,15.75,7.25
chr11:5302519-5302520,36.75,6.5,3.25,9.0,15.0,4.0,20.0,13.5,6.0
chr11:5302520-5302521,36.75,6.5,3.25,9.0,15.0,4.0,20.0,13.5,6.0
chr11:5302521-5302522,36.75,6.5,3.25,9.0,15.0,4.0,20.0,13.5,6.0
chr11:5302522-5302523,36.75,6.5,3.25,9.0,15.0,4.0,20.0,13.5,6.0
chr11:5302555-5302556,27.25,5.5,3.0,10.0,13.5,3.75,17.75,11.5,6.75
chr11:5302558-5302559,27.25,5.5,3.0,10.0,13.5,3.75,17.75,11.5,6.75
chr11:5302560-5302561,27.25,5.5,3.0,10.0,13.5,3.75,17.75,11.5,6.75
chr11:5302561-5302562,27.25,5.5,3.0,10.0,13.5,3.75,17.75,11.5,6.75
chr11:5302569-5302570,27.25,5.5,3.0,10.0,13.5,3.75,17.75,11.5,6.75
chr11:5305317-5305318,18.25,8.75,1.0,9.5,16.0,6.5,17.5,12.5,10.5
chr11:5305368-5305369,21.75,9.5,0.75,12.0,17.75,6.25,18.25,12.25,10.0
chr11:5305404-5305405,25.1591,9.5,0.522727,13.5909,20.7045,6.93182,19.1591,12.4773,9.54545
chr11:5305405-5305406,25.5,9.5,0.5,13.75,21.0,7.0,19.25,12.5,9.5
chr11:5305406-5305407,25.5,9.5,0.5,13.75,21.0,7.0,19.25,12.5,9.5
chr11:5305407-5305408,25.5,9.5,0.5,13.75,21.0,7.0,19.25,12.5,9.5
chr11:5305408-5305409,25.5,9.5,0.5,13.75,21.0,7.0,19.25,12.5,9.5
chr11:5305409-5305410,25.5,9.5,0.5,13.75,21.0,7.0,19.25,12.5,9.5
chr11:5305410-5305411,25.5,9.5,0.5,13.75,21.0,7.0,19.25,12.5,9.5
chr11:5306054-5306055,2504.82,23.1591,200.727,186.386,90.5682,414.88599999999997,376.773,201.75,314.27299999999997
chr11:5306056-5306057,2473.25,23.0,198.0,185.5,90.5,414.0,377.0,201.25,313.25
chr11:5306066-5306067,2473.25,23.0,198.0,185.5,90.5,414.0,377.0,201.25,313.25
chr11:5308987-5308988,68.25,5.0,2.0,9.5,21.0,8.75,17.5,12.25,9.25
chr11:5308996-5308997,67.75,5.40909,2.22727,9.95455,21.2273,9.11364,18.1364,12.0682,9.93182
chr11:5308997-5308998,67.5,5.61364,2.34091,10.1818,21.3409,9.29545,18.4545,11.9773,10.2727
chr11:5309024-5309025,65.5,7.25,3.25,12.0,22.25,10.75,21.0,11.25,13.0
chr11:5309026-5309027,65.5,7.25,3.25,12.0,22.25,10.75,21.0,11.25,13.0
chr11:5309027-5309028,65.5,7.25,3.25,12.0,22.25,10.75,21.0,11.25,13.0
chr11:5309033-5309034,65.5,7.25,3.25,12.0,22.25,10.75,21.0,11.25,13.0
chr11:5309041-5309042,65.5,7.25,3.25,12.0,22.25,10.75,21.0,11.25,13.0
chr11:5309043-5309044,65.5,7.25,3.25,12.0,22.25,10.75,21.0,11.25,13.0
chr11:5309048-5309049,63.5,8.159089999999999,3.34091,13.2727,22.3409,12.2045,22.3636,11.5227,14.0
chr11:5309049-5309050,63.0,8.38636,3.36364,13.5909,22.3636,12.5682,22.7045,11.5909,14.25
chr11:5309051-5309052,62.0,8.840910000000001,3.40909,14.2273,22.4091,13.2955,23.3864,11.7273,14.75
chr11:5309426-5309427,946.0,22.75,66.75,112.5,34.0,263.25,123.75,108.75,161.5
chr11:5309515-5309516,1725.25,27.5,115.0,140.75,40.25,325.0,143.25,124.0,197.0
chr11:5312637-5312638,290.5,120.5,8.5,10.5,22.25,5.25,15.5,13.5,8.5
chr11:5312647-5312648,308.159,126.84100000000001,8.56818,10.0909,22.9318,5.79545,15.8409,13.4318,8.5
chr11:5319062-5319063,144.5,6.5,12.75,17.25,13.5,14.25,11.0,14.5,6.5
chr11:5319067-5319068,144.5,6.5,12.75,17.25,13.5,14.25,11.0,14.5,6.5
chr11:5319069-5319070,144.5,6.5,12.75,17.25,13.5,14.25,11.0,14.5,6.5
chr11:5319105-5319106,154.75,6.5,11.75,16.25,12.75,15.75,11.25,12.5,5.5
chr11:5319291-5319292,80.5,6.25,3.25,6.25,15.25,15.0,10.75,9.25,7.5
chr11:5319302-5319303,85.2273,6.613639999999999,3.06818,5.70455,15.7955,13.3636,11.2955,7.613639999999999,7.5
chr11:5319303-5319304,85.8182,6.659089999999999,3.04545,5.63636,15.8636,13.1591,11.3636,7.409089999999999,7.5
chr11:5319417-5319418,96.75,6.25,3.75,5.0,15.75,7.25,11.0,3.5,4.75
chr11:5325062-5325063,819.25,9.5,19.0,99.25,22.5,86.25,43.75,41.75,27.75
chr11:5325063-5325064,819.25,9.5,19.0,99.25,22.5,86.25,43.75,41.75,27.75
chr11:5325065-5325066,819.25,9.5,19.0,99.25,22.5,86.25,43.75,41.75,27.75
chr11:5325094-5325095,819.25,9.5,19.0,99.25,22.5,86.25,43.75,41.75,27.75
chr11:5325104-5325105,651.068,9.272730000000001,16.2727,90.6136,22.7273,77.6136,41.25,40.1591,27.2955
chr11:5325129-5325130,634.25,9.25,16.0,89.75,22.75,76.75,41.0,40.0,27.25
chr11:5325130-5325131,634.25,9.25,16.0,89.75,22.75,76.75,41.0,40.0,27.25
chr11:5330269-5330270,29.5,6.75,1.5,6.75,8.0,10.5,5.5,9.75,4.5
chr11:5369965-5369966,429.25,4.25,6.0,12.25,30.25,12.0,16.75,10.5,5.5
chr11:5369977-5369978,429.25,4.25,6.0,12.25,30.25,12.0,16.75,10.5,5.5
chr11:5369979-5369980,429.25,4.25,6.0,12.25,30.25,12.0,16.75,10.5,5.5
chr11:5374672-5374673,28.0,2.5,1.75,5.0,12.25,2.0,3.75,4.5,0.75
chr11:5374683-5374684,28.0,2.5,1.75,5.0,12.25,2.0,3.75,4.5,0.75
chr11:5391290-5391291,256.0,117.25,3.0,14.5,24.25,11.25,19.75,10.0,6.0
chr11:5391293-5391294,256.0,117.25,3.0,14.5,24.25,11.25,19.75,10.0,6.0
chr11:5391300-5391301,253.81799999999998,125.023,2.72727,13.2727,25.6136,12.0682,19.8864,9.727269999999999,5.86364
chr11:5402129-5402130,202.0,79.0,6.5,9.25,18.5,7.0,11.75,7.75,4.25
chr11:5402137-5402138,202.0,79.0,6.5,9.25,18.5,7.0,11.75,7.75,4.25
chr11:5402196-5402197,245.955,88.75,6.27273,9.909089999999999,18.7045,5.77273,11.9773,6.95455,3.27273
chr11:5402198-5402199,242.40900000000002,87.75,6.04545,9.81818,18.6591,5.54545,11.7045,6.909089999999999,3.04545
chr11:5402207-5402208,230.0,84.25,5.25,9.5,18.5,4.75,10.75,6.75,2.25
chr11:5497629-5497630,98.5,67.0,0.25,8.25,17.75,4.0,7.0,12.25,6.0
chr11:5497655-5497656,103.75,64.5,0.75,6.25,19.25,3.75,8.0,14.0,6.5
chr11:5497670-5497671,103.75,64.5,0.75,6.25,19.25,3.75,8.0,14.0,6.5
chr11:5497673-5497674,103.75,64.5,0.75,6.25,19.25,3.75,8.0,14.0,6.5
chr11:5497690-5497691,103.75,64.5,0.75,6.25,19.25,3.75,8.0,14.0,6.5
chr11:5497691-5497692,103.75,64.5,0.75,6.25,19.25,3.75,8.0,14.0,6.5
chr11:5552459-5552460,13.5,3.25,1.5,0.75,1.25,8.5,1.0,2.75,3.0
chr11:5552460-5552461,13.5,3.25,1.5,0.75,1.25,8.5,1.0,2.75,3.0
chr11:5602227-5602228,15.5,4.75,1.5,1.75,6.25,1.25,5.75,3.5,3.0
chr11:5602230-5602231,15.5,4.75,1.5,1.75,6.25,1.25,5.75,3.5,3.0
chr11:5602231-5602232,15.5,4.75,1.5,1.75,6.25,1.25,5.75,3.5,3.0
chr11:5602262-5602263,28.0,3.75,1.5,3.5,6.75,1.25,6.75,4.0,3.0
