0,55918e182827-Hudep2_ATAC,df556ca45528-Hudep2_D3_merged_CTCF.all,8ac5c2b6b652-Hudep2_BCL11A,d4479abb8c62-Hudep2_D0_GATA1.all,e75fff55b23d-HUDEP2_LRF_CHIP,6de19797ef29-Hudep2_D3_merged_GATA1.all,1a798ec730b0-Hudep2_D3_merged_KLF1.all,4c1a9aa91555-Hudep2_D3_merged_LDB1.all,f3f86258967b-Hudep2_D3_merged_TAL1.all
chr11:4403356-4403357,377.80699999999996,7.67857,3.6009300000000004,4.65528,8.30124,19.4177,13.3944,16.9441,13.5621
chr11:4514612-4514613,277.585,56.177,6.31677,9.87112,18.7096,7.98913,8.27174,6.10559,4.02174
chr11:4560994-4560995,70.5202,48.5854,1.7236,4.39752,9.56988,4.19876,9.06522,7.048139999999999,4.293480000000001
chr11:4560996-4560997,71.3711,48.9736,1.6987599999999998,4.43478,9.59472,4.211180000000001,9.074530000000001,7.06988,4.293480000000001
chr11:4561023-4561024,82.3245,54.0901,1.36335,4.9441,9.94876,4.36646,9.18789,7.35093,4.26863
chr11:4629078-4629079,237.043,11.7873,0.8788819999999999,3.9782599999999997,37.9348,6.3354,22.3043,10.7189,6.0295
chr11:4629151-4629152,403.07599999999996,12.4255,2.1382,6.0264,37.7624,8.45186,25.5699,10.5668,8.760869999999999
chr11:4647582-4647583,117.126,72.9922,4.77019,5.07453,10.7966,2.38199,7.84006,7.385089999999999,5.3804300000000005
chr11:4647604-4647605,125.325,76.1009,4.01863,4.93789,11.0357,2.31366,8.079189999999999,7.4534199999999995,5.5854
chr11:4647611-4647612,127.93299999999999,77.0901,3.7795,4.89441,11.1118,2.29193,8.15528,7.475160000000001,5.65062
chr11:4647612-4647613,128.306,77.2314,3.74534,4.8882,11.1227,2.28882,8.16615,7.478260000000001,5.65994
chr11:4658295-4658296,172.747,58.9332,2.17236,5.84161,12.8898,2.25,6.6304300000000005,7.8121100000000006,4.61025
chr11:4658347-4658348,185.081,61.6289,2.2422400000000002,5.53261,12.1071,2.2934799999999997,5.588509999999999,6.295030000000001,4.76708
chr11:5012413-5012414,179.55900000000003,47.455,1.9472,6.94255,12.0947,12.2422,5.96429,8.60559,5.4472
chr11:5012415-5012416,182.65200000000002,47.9208,1.9534200000000002,6.9736,12.1413,12.3261,5.9705,8.63975,5.4534199999999995
chr11:5012425-5012426,197.84799999999998,50.3711,1.9751599999999998,7.14752,12.3463,12.7267,6.02019,8.81056,5.4472
chr11:5012472-5012473,248.325,58.8851,1.91304,7.69255,12.8121,14.2484,6.25155,9.427019999999999,5.1708099999999995
chr11:5012481-5012482,253.61599999999999,60.0171,1.8850900000000002,7.771739999999999,12.8323,14.4006,6.30901,9.55901,5.11491
chr11:5012483-5012484,253.69099999999997,60.1196,1.8788799999999999,7.781060000000001,12.823,14.4068,6.32453,9.574530000000001,5.10248
chr11:5108644-5108645,143.96,7.40062,2.49534,18.4037,19.8401,7.26863,8.827639999999999,7.521739999999999,4.208069999999999
chr11:5108646-5108647,145.345,7.372669999999999,2.49845,18.5,19.7811,7.32453,8.827639999999999,7.531060000000001,4.245340000000001
chr11:5108656-5108657,152.27,7.23292,2.51398,18.9814,19.486,7.6040399999999995,8.827639999999999,7.57764,4.43168
chr11:5150730-5150731,104.632,7.58385,6.560560000000001,6.6459600000000005,13.1289,25.809,7.8882,8.39752,6.15373
chr11:5150817-5150818,138.295,10.3835,6.32609,7.41615,13.5901,26.2655,7.76708,7.22205,7.98447
chr11:5150818-5150819,138.444,10.4084,6.31366,7.42391,13.5839,26.236,7.76708,7.209630000000001,8.00155
chr11:5173045-5173046,876.762,14.9829,25.0637,136.727,37.5916,271.904,69.6289,176.46400000000003,186.273
chr11:5173047-5173048,887.4739999999999,15.073,25.368000000000002,137.876,37.6568,273.348,70.0606,177.88400000000001,187.16099999999997
chr11:5173053-5173054,919.607,15.3432,26.2811,141.32299999999998,37.8525,277.68,71.3556,182.141,189.826
chr11:5173055-5173056,930.318,15.4332,26.5854,142.472,37.9177,279.124,71.7873,183.56099999999998,190.71400000000003
chr11:5173086-5173087,1093.3,16.7531,32.2873,159.75799999999998,38.4612,298.48900000000003,78.486,202.578,203.78900000000002
chr11:5173087-5173088,1097.39,16.7826,32.4783,160.171,38.4472,298.776,78.6491,202.91,204.043
chr11:5173088-5173089,1101.48,16.8121,32.6693,160.584,38.4332,299.064,78.8121,203.24200000000002,204.298
chr11:5173106-5173107,1175.07,17.3432,36.1071,168.019,38.1817,304.23400000000004,81.7469,209.22400000000002,208.882
chr11:5173110-5173111,1191.42,17.4612,36.8711,169.671,38.1258,305.384,82.3991,210.553,209.90099999999998
chr11:5173163-5173164,1285.7,18.5295,45.7469,181.023,35.5233,306.415,87.2826,208.368,217.21400000000003
chr11:5173165-5173166,1287.24,18.5575,46.0481,181.25900000000001,35.4053,306.225,87.3975,207.99200000000002,217.385
chr11:5173174-5173175,1282.54,18.691,47.1553,181.32,34.7112,304.23900000000003,87.5497,204.888,217.486
chr11:5173209-5173210,1183.26,18.9193,48.5264,174.071,31.7298,290.467,85.4752,185.043,212.919
chr11:5173231-5173232,1088.73,19.0016,47.8835,166.298,29.6786,277.272,82.75,169.17700000000002,206.373
chr11:5181611-5181612,53.1491,2.63199,0.130435,13.5559,8.01242,18.323,8.20807,11.205,10.8075
chr11:5186340-5186341,3.01242,2.63354,0.403727,8.47205,11.3804,11.3043,1.9860200000000001,3.9736,6.06366
chr11:5186363-5186364,2.76242,2.88354,0.26087,7.82919,11.0233,11.0901,2.09317,3.4736,6.1708099999999995
chr11:5186382-5186383,2.5745299999999998,3.15373,0.149068,7.34627,10.5932,10.7484,2.15528,3.09938,6.15217
chr11:5186435-5186436,2.5745299999999998,4.0031099999999995,0.0,6.717389999999999,9.20807,9.33075,2.1226700000000003,2.66149,5.63354
chr11:5186437-5186438,2.58385,4.02174,0.0,6.711180000000001,9.14907,9.26553,2.11646,2.6677,5.59317
chr11:5186438-5186439,2.58851,4.03106,0.0,6.708069999999999,9.11957,9.23292,2.11335,2.67081,5.57298
chr11:5226205-5226206,308.587,97.1366,45.7733,8.6677,24.1817,4.90994,19.6118,9.992239999999999,7.74534
chr11:5226215-5226216,330.621,98.441,47.5901,8.80745,24.1506,4.77019,19.705,9.93012,7.8540399999999995
chr11:5226216-5226217,332.825,98.5714,47.7717,8.82143,24.1475,4.75621,19.7143,9.923910000000001,7.864910000000001
chr11:5226294-5226295,414.21,87.8075,47.4146,8.6677,21.8385,4.6211199999999995,18.4301,8.58075,8.10714
chr11:5226296-5226297,413.49800000000005,87.2174,47.1196,8.63975,21.7547,4.63975,18.368,8.54658,8.0854
chr11:5226298-5226299,412.787,86.6273,46.8245,8.6118,21.6708,4.65839,18.3059,8.51242,8.06366
chr11:5226305-5226306,410.298,84.5621,45.7919,8.51398,21.3773,4.7236,18.0885,8.39286,7.98758
chr11:5245907-5245908,629.967,11.1988,12.045,21.221999999999998,52.5885,62.0311,38.2624,26.927,27.1227
chr11:5245945-5245946,676.135,10.705,13.2065,19.6941,53.6102,57.2842,37.9379,24.854,27.8556
chr11:5245962-5245963,688.595,10.4674,13.4705,19.2189,53.7158,54.6708,37.6211,23.7453,28.014
chr11:5245970-5245971,694.382,10.3587,13.5947,18.9876,53.7547,53.3773,37.4472,23.205,28.0885
chr11:5246236-5246237,702.148,9.04503,19.4798,16.722,43.5699,23.4022,27.4689,19.0404,24.2826
chr11:5246237-5246238,701.194,9.02795,19.4705,16.7158,43.4332,23.3944,27.455,19.0776,24.2547
chr11:5246242-5246243,696.427,8.94255,19.4239,16.6848,42.75,23.3556,27.3851,19.264,24.1149
chr11:5246244-5246245,694.52,8.908389999999999,19.4053,16.6724,42.4767,23.3401,27.3571,19.3385,24.059
chr11:5246246-5246247,692.613,8.87422,19.3866,16.6599,42.2034,23.3245,27.3292,19.413,24.0031
chr11:5246279-5246280,656.725,8.35714,18.8463,16.3773,37.3214,22.9441,26.9146,20.6584,22.9876
chr11:5246280-5246281,655.3290000000001,8.34472,18.8137,16.3634,37.1475,22.9239,26.9053,20.6972,22.9503
chr11:5246293-5246294,638.231,8.28416,18.309,16.1817,35.2702,22.7826,26.8245,20.9798,22.6071
chr11:5246294-5246295,636.9159999999999,8.2795,18.2702,16.1677,35.1258,22.7717,26.8183,21.0016,22.5807
chr11:5246314-5246315,610.612,8.18634,17.4938,15.8882,32.2376,22.5543,26.6941,21.4363,22.0528
chr11:5246896-5246897,655.07,15.5839,38.2158,44.6553,40.6988,40.8944,36.3665,21.9394,21.631999999999998
chr11:5246901-5246902,664.992,15.5994,39.0078,45.1444,40.6988,41.2748,36.3354,21.9394,21.8494
chr11:5246905-5246906,672.93,15.6118,39.6413,45.5357,40.6988,41.5792,36.3106,21.9394,22.0233
chr11:5246906-5246907,674.915,15.6149,39.7997,45.6335,40.6988,41.6553,36.3043,21.9394,22.0668
chr11:5246908-5246909,678.8839999999999,15.6211,40.1165,45.8292,40.6988,41.8075,36.2919,21.9394,22.1537
chr11:5246959-5246960,711.102,15.8866,43.5714,47.5543,39.9317,44.2795,36.0202,22.6506,24.5186
chr11:5246963-5246964,710.842,15.9115,43.6522,47.5543,39.8447,44.4037,36.0016,22.7252,24.6988
chr11:5246966-5246967,710.6460000000001,15.9301,43.7127,47.5543,39.7795,44.4969,35.9876,22.7811,24.8339
chr11:5246970-5246971,709.211,15.9503,43.7003,47.4953,39.6786,44.5994,35.9658,22.8634,25.0047
chr11:5248367-5248368,2315.57,17.1258,33.1444,22.5963,41.1025,52.3975,97.0,24.4814,32.2702
chr11:5248398-5248399,2141.81,16.1848,31.0202,21.5078,37.2376,50.7329,94.2298,24.0326,29.4177
chr11:5248436-5248437,1854.26,15.0497,27.9099,19.4829,33.4519,47.972,87.545,23.8587,26.028000000000002
chr11:5248437-5248438,1845.2,15.0233,27.8276,19.4146,33.3975,47.8975,87.295,23.8494,25.9441
chr11:5248456-5248457,1673.11,14.5217,26.264,18.1165,32.3649,46.4814,82.545,23.6724,24.3509
chr11:5249150-5249151,106.23,7.00932,5.02484,11.0217,16.5047,29.455,20.4829,12.104000000000001,5.995340000000001
chr11:5249152-5249153,106.478,7.0465800000000005,5.0031099999999995,11.0714,16.5761,29.5109,20.5668,12.0885,5.97671
chr11:5249162-5249163,107.72,7.23292,4.89441,11.3199,16.9332,29.7904,20.986,12.0109,5.88354
chr11:5255877-5255878,426.582,22.427,12.5326,36.8618,14.4984,166.205,15.5683,24.7391,24.8618
chr11:5255968-5255969,276.811,17.7593,9.79658,40.5994,14.2842,163.97400000000002,17.2283,23.4814,20.896
chr11:5263459-5263460,70.6289,7.25311,6.46894,8.18944,13.7578,15.1056,6.1972,13.7376,8.86491
chr11:5263461-5263462,70.9332,7.2872699999999995,6.51863,8.23292,13.7422,15.1677,6.22516,13.8183,8.89907
chr11:5263466-5263467,71.6941,7.372669999999999,6.642860000000001,8.341610000000001,13.7034,15.323,6.295030000000001,14.0202,8.98447
chr11:5263467-5263468,71.8463,7.38975,6.6677,8.36335,13.6957,15.354000000000001,6.30901,14.0606,9.00155
chr11:5263505-5263506,76.2935,7.65528,7.451860000000001,9.06832,13.3665,16.3525,6.968939999999999,14.8106,9.64596
chr11:5263506-5263507,76.382,7.65839,7.468939999999999,9.08385,13.3587,16.3742,6.98602,14.823,9.661489999999999
chr11:5263513-5263514,77.0016,7.68012,7.58851,9.19255,13.3043,16.5264,7.105589999999999,14.9099,9.77019
chr11:5263515-5263516,77.1786,7.6863399999999995,7.622669999999999,9.2236,13.2888,16.5699,7.13975,14.9348,9.80124
chr11:5263541-5263542,78.028,7.68168,7.9472,9.43944,13.1211,17.0326,7.7034199999999995,14.7283,10.1366
chr11:5263542-5263543,78.0295,7.67857,7.954969999999999,9.44255,13.1211,17.045,7.7236,14.7081,10.1444
chr11:5263598-5263599,74.5,7.38665,7.9627300000000005,9.35248,13.0264,17.1056,8.66925,13.0264,10.2081
chr11:5263610-5263611,72.9161,7.293480000000001,7.85093,9.259319999999999,12.9519,16.9565,8.79969,12.5419,10.1335
chr11:5263621-5263622,71.2438,7.19565,7.717389999999999,9.158389999999999,12.8742,16.7795,8.906830000000001,12.0885,10.0435
chr11:5263624-5263625,70.5171,7.15373,7.642860000000001,9.1118,12.8416,16.6817,8.920810000000001,11.9534,9.992239999999999
chr11:5264340-5264341,72.1398,3.3540400000000004,4.85404,4.374219999999999,11.277999999999999,2.15994,8.13354,7.6677,5.30745
chr11:5264375-5264376,87.1988,3.88975,5.57764,4.27484,12.0031,2.31522,8.7764,7.540369999999999,5.14441
chr11:5264384-5264385,90.1227,4.0791900000000005,5.67391,4.27329,12.1879,2.41925,8.89286,7.47205,5.09627
chr11:5264411-5264412,96.0761,4.624219999999999,5.79969,4.31522,12.6491,2.75466,9.10248,7.2205,4.92857
chr11:5264421-5264422,98.0668,4.84161,5.82453,4.34317,12.8106,2.8882,9.173910000000001,7.127330000000001,4.85714
chr11:5264761-5264762,91.4845,6.09317,4.28106,5.09006,16.2158,4.3804300000000005,10.3183,4.9627300000000005,2.3618
chr11:5264805-5264806,107.354,6.774839999999999,3.8323,4.5264,17.1677,3.94876,9.54037,5.4130400000000005,3.5108699999999997
chr11:5265117-5265118,51.9441,5.627330000000001,2.26242,5.92857,10.6196,3.45031,3.11491,8.04348,3.83075
chr11:5265129-5265130,46.9596,5.4472,2.13199,5.875780000000001,10.3432,3.59006,3.20497,8.04969,3.7313699999999996
chr11:5265161-5265162,37.7252,5.09472,1.9767099999999997,5.67857,9.838510000000001,3.9875800000000003,3.5993800000000005,8.09938,3.86801
chr11:5265168-5265169,35.736,5.01863,1.9441,5.63509,9.72981,4.07453,3.68634,8.11025,3.9006199999999995
chr11:5265169-5265170,35.4519,5.00776,1.93944,5.6288800000000005,9.71429,4.0869599999999995,3.69876,8.1118,3.9052800000000003
chr11:5265172-5265173,34.441,4.956519999999999,1.92547,5.60093,9.68634,4.124219999999999,3.7593199999999998,8.15373,3.9146
chr11:5265967-5265968,472.014,5.93944,19.4612,25.8665,18.028,53.6568,25.8556,20.7112,19.2981
chr11:5265968-5265969,475.719,5.93944,19.5932,25.927,18.0093,53.8618,25.9084,20.8028,19.3804
chr11:5265970-5265971,483.825,5.95031,19.8447,26.0575,17.9767,54.2919,26.0078,20.9891,19.5637
chr11:5265973-5265974,497.026,5.98292,20.2034,26.2671,17.9348,54.9674,26.1475,21.2733,19.8665
chr11:5265975-5265976,505.82800000000003,6.004659999999999,20.4425,26.4068,17.9068,55.4177,26.2407,21.4627,20.0683
chr11:5266009-5266010,625.413,6.46429,23.1118,27.927,17.3866,60.7314,27.014,23.8276,22.7345
chr11:5266055-5266056,720.3589999999999,7.55435,23.4394,29.7267,16.677,65.236,26.8121,25.2811,25.6444
chr11:5266065-5266066,732.75,7.81832,23.1755,30.0528,16.5373,65.8727,26.6568,25.3898,26.1413
chr11:5266067-5266068,735.2280000000001,7.8711199999999995,23.1227,30.118000000000002,16.5093,66.0,26.6258,25.4115,26.2407
chr11:5266509-5266510,20.0047,3.86335,4.03106,13.6599,13.3059,8.909939999999999,11.1941,8.7205,5.1677
chr11:5266510-5266511,20.0528,3.8571400000000002,4.02795,13.6568,13.295,8.88509,11.190999999999999,8.68789,5.14907
chr11:5266511-5266512,20.1009,3.8509300000000004,4.02484,13.6537,13.2842,8.86025,11.1879,8.65528,5.1304300000000005
chr11:5266557-5266558,21.7686,3.54814,3.8990699999999996,13.2826,12.8758,8.04348,11.4736,6.93478,4.288819999999999
chr11:5296477-5296478,9.5528,10.677,2.26398,7.41304,11.027999999999999,3.53882,14.4658,11.3152,6.15062
chr11:5296526-5296527,11.677,12.690999999999999,2.7189400000000004,8.27174,12.4503,4.30435,15.9006,13.4519,8.163039999999999
chr11:5296537-5296538,12.2236,13.2065,2.76087,8.45031,13.0016,4.52329,16.2671,13.9953,8.63975
chr11:5297162-5297163,981.326,20.4488,54.5047,74.7127,47.2096,191.56799999999998,82.6646,46.8385,68.9068
chr11:5297168-5297169,1017.16,20.8587,56.3307,75.7096,47.4705,193.217,83.0466,47.5839,69.1304
chr11:5297170-5297171,1028.76,21.0031,56.9115,76.0047,47.5186,193.66099999999997,83.132,47.8214,69.1522
chr11:5297171-5297172,1034.39,21.0792,57.1879,76.1335,47.5233,193.831,83.1537,47.9348,69.1366
chr11:5297172-5297173,1040.02,21.1553,57.4643,76.2624,47.528,194.0,83.1755,48.0481,69.1211
chr11:5297273-5297274,1201.08,25.309,61.5543,73.6677,39.6879,175.27,74.7935,49.0932,60.1739
chr11:5297274-5297275,1197.42,25.3059,61.3137,73.4627,39.5404,174.64,74.5885,48.9938,59.9798
chr11:5302001-5302002,1491.4,23.764,135.061,77.0606,66.3975,127.773,540.693,197.722,144.438
chr11:5302474-5302475,45.7407,8.35404,3.3944099999999997,9.86957,16.4876,5.4177,29.014,16.0062,8.40217
chr11:5302483-5302484,43.6817,8.0559,3.2965800000000005,9.757760000000001,16.1429,5.0869599999999995,27.1506,15.4845,7.91304
chr11:5302494-5302495,41.8711,7.74845,3.24534,9.7236,15.8696,4.86491,25.75,15.0062,7.622669999999999
chr11:5302519-5302520,37.7562,7.049689999999999,3.12888,9.64596,15.2484,4.36025,22.5668,13.9193,6.9627300000000005
chr11:5302520-5302521,37.5217,7.0201899999999995,3.11801,9.64596,15.2236,4.3369599999999995,22.4348,13.8634,6.93012
chr11:5302521-5302522,37.2873,6.99068,3.1071400000000002,9.64596,15.1988,4.31366,22.3028,13.8075,6.89752
chr11:5302522-5302523,37.0528,6.961180000000001,3.09627,9.64596,15.1739,4.290369999999999,22.1708,13.7516,6.864910000000001
chr11:5302555-5302556,30.5575,6.2205,2.8540400000000004,9.76242,14.4705,3.87112,19.6398,12.3339,6.3711199999999995
chr11:5302558-5302559,30.0031,6.15994,2.8354,9.7764,14.4099,3.8431699999999998,19.4627,12.2174,6.34317
chr11:5302560-5302561,29.6335,6.1195699999999995,2.82298,9.78571,14.3696,3.82453,19.3447,12.1398,6.32453
chr11:5302561-5302562,29.4488,6.09938,2.81677,9.79037,14.3494,3.8152199999999996,19.2857,12.1009,6.31522
chr11:5302569-5302570,27.9705,5.93789,2.76708,9.827639999999999,14.1879,3.7406800000000002,18.8137,11.7904,6.24068
chr11:5305317-5305318,17.5978,8.36335,0.925466,9.16615,15.9317,6.16615,16.837,12.3245,9.61957
chr11:5305368-5305369,21.3012,9.11801,0.7701859999999999,11.3835,17.972,6.5559,18.1351,12.4224,9.9472
chr11:5305404-5305405,25.881999999999998,9.43323,0.767081,12.5202,20.2702,7.4472,19.0916,12.5854,9.81677
chr11:5305405-5305406,26.0047,9.43944,0.767081,12.5466,20.3323,7.47205,19.1149,12.5901,9.81056
chr11:5305406-5305407,26.1273,9.44565,0.767081,12.573,20.3944,7.49689,19.1382,12.5947,9.80435
chr11:5305407-5305408,26.25,9.45186,0.767081,12.5994,20.4565,7.521739999999999,19.1615,12.5994,9.79814
chr11:5305408-5305409,26.3727,9.45807,0.767081,12.6258,20.5186,7.5465800000000005,19.1848,12.604000000000001,9.79193
chr11:5305409-5305410,26.4953,9.46429,0.767081,12.6522,20.5807,7.57143,19.2081,12.6087,9.78571
chr11:5305410-5305411,26.618000000000002,9.4705,0.767081,12.6786,20.6429,7.59627,19.2314,12.6134,9.7795
chr11:5306054-5306055,2465.13,23.2966,196.77599999999998,180.55599999999998,90.5171,406.596,361.411,192.925,308.158
chr11:5306056-5306057,2456.45,23.25,196.217,180.33900000000003,90.5264,406.42199999999997,361.66900000000004,192.845,307.879
chr11:5306066-5306067,2413.03,23.0171,193.422,179.252,90.573,405.55300000000005,362.958,192.44099999999997,306.481
chr11:5308987-5308988,64.0699,5.89596,2.5559,10.6134,21.221999999999998,9.841610000000001,18.2624,12.3789,10.5404
chr11:5308996-5308997,64.1118,6.23137,2.63975,11.0186,21.3758,10.2189,18.9053,12.2671,11.0295
chr11:5308997-5308998,64.1165,6.26863,2.64907,11.0637,21.3929,10.2609,18.9767,12.2547,11.0839
chr11:5309024-5309025,64.0248,7.32143,2.90062,12.395999999999999,21.8152,11.6879,21.0373,12.027999999999999,12.7453
chr11:5309026-5309027,63.9472,7.4146,2.91925,12.5326,21.8339,11.8898,21.2329,12.0466,12.9317
chr11:5309027-5309028,63.9084,7.461180000000001,2.92857,12.6009,21.8432,11.9907,21.3307,12.0559,13.0248
chr11:5309033-5309034,63.5078,7.717389999999999,2.98447,12.9876,21.8758,12.5823,21.8385,12.1444,13.5419
chr11:5309041-5309042,62.75,8.02795,3.05901,13.472000000000001,21.8882,13.3525,22.4099,12.3059,14.1755
chr11:5309043-5309044,62.5606,8.10559,3.07764,13.5932,21.8913,13.545,22.5528,12.3463,14.3339
chr11:5309048-5309049,62.086999999999996,8.29969,3.12422,13.895999999999999,21.8991,14.0264,22.9099,12.4472,14.7298
chr11:5309049-5309050,61.9922,8.338510000000001,3.13354,13.9565,21.9006,14.1227,22.9814,12.4674,14.809000000000001
