0,594de8aa9916-1440317_H3K27ac_H2_D3.all,2554e780890f-Hudep2_ATAC,386b0c66251a-1686607_H2_ABEmax_RNAseq.all,2d9f1defe4bb-Hudep2_D3_merged_CTCF.all,a0f43898fc2d-Hudep2_BCL11A,c79328695482-1440315_H3K27me3_H2_D3.all,e53295538398-Hudep2_D0_GATA1.all,7b6873b68cb9-HUDEP2_LRF_CHIP,deaf983df0e4-1788283_H2_ABEmax.all,1c89a6d12c06-Hudep2_D3_merged_GATA1.all,673b219e61ad-Hudep2_D3_merged_KLF1.all,fc063a463470-1440311_H3K9me3_H2_D3.all,a3d47fe12b92-Hudep2_D3_merged_LDB1.all,04df099ccd9f-1440307_H3K4me1_H2_D3.all,da6f2ed3d4b1-Hudep2_D3_merged_TAL1.all,6b60ef98ce9a-1440313_H3K9ac_H2_D3.all,671a7a45c611-1440319_H3K36me3_H2_D3.all,82e095a3625f-1440309_H3K4me3_H2_D3.all,#HiChIP_degree
chr2:57724783-57724784,2.75,41.5,0.0,36.0,5.0,0.75,6.0,7.5,0.0,2.0,9.75,1.5,8.25,2.0,3.75,2.75,0.0,1.75,0.0
chr2:57724784-57724785,2.75,41.5,0.0,36.0,5.0,0.75,6.0,7.5,0.0,2.0,9.75,1.5,8.25,2.0,3.75,2.75,0.0,1.75,0.0
chr2:57724786-57724787,2.75,41.5,0.0,36.0,5.0,0.75,6.0,7.5,0.0,2.0,9.75,1.5,8.25,2.0,3.75,2.75,0.0,1.75,0.0
chr2:57724789-57724790,2.75,41.5,0.0,36.0,5.0,0.75,6.0,7.5,0.0,2.0,9.75,1.5,8.25,2.0,3.75,2.75,0.0,1.75,0.0
chr2:57724790-57724791,2.75,41.5,0.0,36.0,5.0,0.75,6.0,7.5,0.0,2.0,9.75,1.5,8.25,2.0,3.75,2.75,0.0,1.75,0.0
chr2:57724791-57724792,2.75,41.5,0.0,36.0,5.0,0.75,6.0,7.5,0.0,2.0,9.75,1.5,8.25,2.0,3.75,2.75,0.0,1.75,0.0
chr2:57724793-57724794,2.75,41.5,0.0,36.0,5.0,0.75,6.0,7.5,0.0,2.0,9.75,1.5,8.25,2.0,3.75,2.75,0.0,1.75,0.0
chr2:57724794-57724795,2.75,41.5,0.0,36.0,5.0,0.75,6.0,7.5,0.0,2.0,9.75,1.5,8.25,2.0,3.75,2.75,0.0,1.75,0.0
chr2:57724795-57724796,2.86364,42.1136,0.0,36.7045,5.04545,0.704545,5.93182,7.659089999999999,0.0,2.02273,9.81818,1.56818,8.340910000000001,2.0,3.68182,2.77273,0.0,1.77273,0.0
chr2:57724805-57724806,4.0,48.25,0.0,43.75,5.5,0.25,5.25,9.25,0.0,2.25,10.5,2.25,9.25,2.0,3.0,3.0,0.0,2.0,0.0
chr2:57724806-57724807,4.0,48.25,0.0,43.75,5.5,0.25,5.25,9.25,0.0,2.25,10.5,2.25,9.25,2.0,3.0,3.0,0.0,2.0,0.0
chr2:57724809-57724810,4.0,48.25,0.0,43.75,5.5,0.25,5.25,9.25,0.0,2.25,10.5,2.25,9.25,2.0,3.0,3.0,0.0,2.0,0.0
chr2:57724811-57724812,4.0,48.25,0.0,43.75,5.5,0.25,5.25,9.25,0.0,2.25,10.5,2.25,9.25,2.0,3.0,3.0,0.0,2.0,0.0
chr2:57724813-57724814,4.0,48.25,0.0,43.75,5.5,0.25,5.25,9.25,0.0,2.25,10.5,2.25,9.25,2.0,3.0,3.0,0.0,2.0,0.0
chr2:57724814-57724815,4.0,48.25,0.0,43.75,5.5,0.25,5.25,9.25,0.0,2.25,10.5,2.25,9.25,2.0,3.0,3.0,0.0,2.0,0.0
chr2:57724817-57724818,4.0,48.25,0.0,43.75,5.5,0.25,5.25,9.25,0.0,2.25,10.5,2.25,9.25,2.0,3.0,3.0,0.0,2.0,0.0
chr2:57724819-57724820,4.0,48.25,0.0,43.75,5.5,0.25,5.25,9.25,0.0,2.25,10.5,2.25,9.25,2.0,3.0,3.0,0.0,2.0,0.0
chr2:57724823-57724824,4.0,48.25,0.0,43.75,5.5,0.25,5.25,9.25,0.0,2.25,10.5,2.25,9.25,2.0,3.0,3.0,0.0,2.0,0.0
chr2:57724828-57724829,4.0,48.25,0.0,43.75,5.5,0.25,5.25,9.25,0.0,2.25,10.5,2.25,9.25,2.0,3.0,3.0,0.0,2.0,0.0
chr2:57724836-57724837,4.0,48.25,0.0,43.75,5.5,0.25,5.25,9.25,0.0,2.25,10.5,2.25,9.25,2.0,3.0,3.0,0.0,2.0,0.0
chr2:57724840-57724841,4.0,48.25,0.0,43.75,5.5,0.25,5.25,9.25,0.0,2.25,10.5,2.25,9.25,2.0,3.0,3.0,0.0,2.0,0.0
chr2:57724842-57724843,4.0,48.25,0.0,43.75,5.5,0.25,5.25,9.25,0.0,2.25,10.5,2.25,9.25,2.0,3.0,3.0,0.0,2.0,0.0
chr2:57724844-57724845,4.0,48.25,0.0,43.75,5.5,0.25,5.25,9.25,0.0,2.25,10.5,2.25,9.25,2.0,3.0,3.0,0.0,2.0,0.0
chr2:57724845-57724846,4.02273,47.7955,0.0,43.8636,5.52273,0.227273,5.13636,9.45455,0.0,2.29545,10.3864,2.25,9.20455,1.97727,2.97727,2.93182,0.0454545,1.95455,0.0
chr2:57724848-57724849,4.09091,46.4318,0.0,44.2045,5.59091,0.159091,4.79545,10.0682,0.0,2.43182,10.0455,2.25,9.06818,1.90909,2.90909,2.72727,0.181818,1.81818,0.0
chr2:57724850-57724851,4.13636,45.5227,0.0,44.4318,5.63636,0.113636,4.56818,10.4773,0.0,2.52273,9.81818,2.25,8.977269999999997,1.86364,2.86364,2.59091,0.272727,1.72727,0.0
chr2:57724852-57724853,4.18182,44.6136,0.0,44.6591,5.68182,0.0681818,4.34091,10.8864,0.0,2.61364,9.59091,2.25,8.88636,1.81818,2.81818,2.45455,0.363636,1.63636,0.0
chr2:57724856-57724857,4.25,43.25,0.0,45.0,5.75,0.0,4.0,11.5,0.0,2.75,9.25,2.25,8.75,1.75,2.75,2.25,0.5,1.5,0.0
chr2:57724857-57724858,4.25,43.25,0.0,45.0,5.75,0.0,4.0,11.5,0.0,2.75,9.25,2.25,8.75,1.75,2.75,2.25,0.5,1.5,0.0
chr2:57724858-57724859,4.25,43.25,0.0,45.0,5.75,0.0,4.0,11.5,0.0,2.75,9.25,2.25,8.75,1.75,2.75,2.25,0.5,1.5,0.0
chr2:57724859-57724860,4.25,43.25,0.0,45.0,5.75,0.0,4.0,11.5,0.0,2.75,9.25,2.25,8.75,1.75,2.75,2.25,0.5,1.5,0.0
chr2:57724861-57724862,4.25,43.25,0.0,45.0,5.75,0.0,4.0,11.5,0.0,2.75,9.25,2.25,8.75,1.75,2.75,2.25,0.5,1.5,0.0
chr2:57724862-57724863,4.25,43.25,0.0,45.0,5.75,0.0,4.0,11.5,0.0,2.75,9.25,2.25,8.75,1.75,2.75,2.25,0.5,1.5,0.0
chr2:57724863-57724864,4.25,43.25,0.0,45.0,5.75,0.0,4.0,11.5,0.0,2.75,9.25,2.25,8.75,1.75,2.75,2.25,0.5,1.5,0.0
chr2:57724865-57724866,4.25,43.25,0.0,45.0,5.75,0.0,4.0,11.5,0.0,2.75,9.25,2.25,8.75,1.75,2.75,2.25,0.5,1.5,0.0
chr2:57724866-57724867,4.25,43.25,0.0,45.0,5.75,0.0,4.0,11.5,0.0,2.75,9.25,2.25,8.75,1.75,2.75,2.25,0.5,1.5,0.0
chr2:57724870-57724871,4.25,43.25,0.0,45.0,5.75,0.0,4.0,11.5,0.0,2.75,9.25,2.25,8.75,1.75,2.75,2.25,0.5,1.5,0.0
chr2:57724871-57724872,4.25,43.25,0.0,45.0,5.75,0.0,4.0,11.5,0.0,2.75,9.25,2.25,8.75,1.75,2.75,2.25,0.5,1.5,0.0
chr2:57724872-57724873,4.25,43.25,0.0,45.0,5.75,0.0,4.0,11.5,0.0,2.75,9.25,2.25,8.75,1.75,2.75,2.25,0.5,1.5,0.0
chr2:57724874-57724875,4.25,43.25,0.0,45.0,5.75,0.0,4.0,11.5,0.0,2.75,9.25,2.25,8.75,1.75,2.75,2.25,0.5,1.5,0.0
chr2:57724875-57724876,4.25,43.25,0.0,45.0,5.75,0.0,4.0,11.5,0.0,2.75,9.25,2.25,8.75,1.75,2.75,2.25,0.5,1.5,0.0
chr2:57724876-57724877,4.25,43.25,0.0,45.0,5.75,0.0,4.0,11.5,0.0,2.75,9.25,2.25,8.75,1.75,2.75,2.25,0.5,1.5,0.0
chr2:57744066-57744067,0.0,37.5,0.0,43.25,0.5,1.25,6.25,9.0,0.0,5.0,10.5,1.25,6.5,4.25,3.0,1.0,0.0,2.75,0.0
chr2:57744068-57744069,0.0,37.5,0.0,43.25,0.5,1.25,6.25,9.0,0.0,5.0,10.5,1.25,6.5,4.25,3.0,1.0,0.0,2.75,0.0
chr2:57744069-57744070,0.0,37.5,0.0,43.25,0.5,1.25,6.25,9.0,0.0,5.0,10.5,1.25,6.5,4.25,3.0,1.0,0.0,2.75,0.0
chr2:57744071-57744072,0.0,37.5,0.0,43.25,0.5,1.25,6.25,9.0,0.0,5.0,10.5,1.25,6.5,4.25,3.0,1.0,0.0,2.75,0.0
chr2:57744075-57744076,0.0,37.5,0.0,43.25,0.5,1.25,6.25,9.0,0.0,5.0,10.5,1.25,6.5,4.25,3.0,1.0,0.0,2.75,0.0
chr2:57744077-57744078,0.0,37.5,0.0,43.25,0.5,1.25,6.25,9.0,0.0,5.0,10.5,1.25,6.5,4.25,3.0,1.0,0.0,2.75,0.0
chr2:57744081-57744082,0.0,37.5,0.0,43.25,0.5,1.25,6.25,9.0,0.0,5.0,10.5,1.25,6.5,4.25,3.0,1.0,0.0,2.75,0.0
chr2:57744088-57744089,0.0,37.5,0.0,43.25,0.5,1.25,6.25,9.0,0.0,5.0,10.5,1.25,6.5,4.25,3.0,1.0,0.0,2.75,0.0
chr2:57744090-57744091,0.0,37.5,0.0,43.25,0.5,1.25,6.25,9.0,0.0,5.0,10.5,1.25,6.5,4.25,3.0,1.0,0.0,2.75,0.0
chr2:57744091-57744092,0.0,37.5,0.0,43.25,0.5,1.25,6.25,9.0,0.0,5.0,10.5,1.25,6.5,4.25,3.0,1.0,0.0,2.75,0.0
chr2:57744095-57744096,0.0,37.5682,0.0,43.8182,0.568182,1.18182,6.13636,9.11364,0.0,5.02273,10.5227,1.27273,6.40909,4.25,2.93182,0.954545,0.0,2.72727,0.0
chr2:57744098-57744099,0.0,37.7727,0.0,45.5227,0.772727,0.977273,5.79545,9.45455,0.0,5.09091,10.5909,1.34091,6.13636,4.25,2.72727,0.818182,0.0,2.65909,0.0
chr2:57948132-57948133,2.0,156.75,0.0,51.75,1.0,3.25,5.0,16.0,0.0,4.25,13.5,0.0,7.75,5.25,5.25,3.5,1.25,2.5,0.0
chr2:57948133-57948134,2.0,156.75,0.0,51.75,1.0,3.25,5.0,16.0,0.0,4.25,13.5,0.0,7.75,5.25,5.25,3.5,1.25,2.5,0.0
chr2:57948171-57948172,2.0,174.0,0.0,53.0,1.5,2.5,4.75,16.25,0.0,4.0,13.0,0.0,7.25,5.75,5.0,4.0,0.5,4.25,0.0
chr2:57948173-57948174,2.0,174.0,0.0,53.0,1.5,2.5,4.75,16.25,0.0,4.0,13.0,0.0,7.25,5.75,5.0,4.0,0.5,4.25,0.0
chr2:57948181-57948182,2.0,174.0,0.0,53.0,1.5,2.5,4.75,16.25,0.0,4.0,13.0,0.0,7.25,5.75,5.0,4.0,0.5,4.25,0.0
chr2:57948183-57948184,2.0,174.0,0.0,53.0,1.5,2.5,4.75,16.25,0.0,4.0,13.0,0.0,7.25,5.75,5.0,4.0,0.5,4.25,0.0
chr2:57948185-57948186,2.0,174.0,0.0,53.0,1.5,2.5,4.75,16.25,0.0,4.0,13.0,0.0,7.25,5.75,5.0,4.0,0.5,4.25,0.0
chr2:57948190-57948191,2.0,174.0,0.0,53.0,1.5,2.5,4.75,16.25,0.0,4.0,13.0,0.0,7.25,5.75,5.0,4.0,0.5,4.25,0.0
chr2:57948192-57948193,2.0,174.0,0.0,53.0,1.5,2.5,4.75,16.25,0.0,4.0,13.0,0.0,7.25,5.75,5.0,4.0,0.5,4.25,0.0
chr2:57948194-57948195,2.0,174.0,0.0,53.0,1.5,2.5,4.75,16.25,0.0,4.0,13.0,0.0,7.25,5.75,5.0,4.0,0.5,4.25,0.0
chr2:57948196-57948197,2.04545,170.68200000000004,0.0,51.3182,1.63636,2.40909,4.65909,16.2045,0.0,3.86364,12.6818,0.0,7.25,5.65909,4.95455,3.90909,0.5,4.34091,0.0
chr2:57948197-57948198,2.06818,169.023,0.0,50.4773,1.70455,2.36364,4.61364,16.1818,0.0,3.79545,12.5227,0.0,7.25,5.61364,4.93182,3.86364,0.5,4.38636,0.0
chr2:57948200-57948201,2.13636,164.045,0.0,47.9545,1.90909,2.22727,4.47727,16.1136,0.0,3.59091,12.0455,0.0,7.25,5.47727,4.86364,3.72727,0.5,4.52273,0.0
chr2:57948205-57948206,2.25,155.75,0.0,43.75,2.25,2.0,4.25,16.0,0.0,3.25,11.25,0.0,7.25,5.25,4.75,3.5,0.5,4.75,0.0
chr2:57948208-57948209,2.25,155.75,0.0,43.75,2.25,2.0,4.25,16.0,0.0,3.25,11.25,0.0,7.25,5.25,4.75,3.5,0.5,4.75,0.0
chr2:57948216-57948217,2.25,155.75,0.0,43.75,2.25,2.0,4.25,16.0,0.0,3.25,11.25,0.0,7.25,5.25,4.75,3.5,0.5,4.75,0.0
chr2:57987086-57987087,3.0,182.25,0.0,59.25,1.0,1.25,8.75,18.75,0.0,7.75,12.0,2.75,6.5,3.5,3.5,4.5,1.25,6.75,0.0
chr2:57987087-57987088,3.0,182.25,0.0,59.25,1.0,1.25,8.75,18.75,0.0,7.75,12.0,2.75,6.5,3.5,3.5,4.5,1.25,6.75,0.0
chr2:57987090-57987091,3.0,182.25,0.0,59.25,1.0,1.25,8.75,18.75,0.0,7.75,12.0,2.75,6.5,3.5,3.5,4.5,1.25,6.75,0.0
chr2:57987094-57987095,3.0,182.25,0.0,59.25,1.0,1.25,8.75,18.75,0.0,7.75,12.0,2.75,6.5,3.5,3.5,4.5,1.25,6.75,0.0
chr2:57987102-57987103,3.54545,290.795,0.0,73.9773,1.0,1.61364,10.3864,21.6591,0.0,7.93182,15.8182,2.56818,8.68182,4.22727,4.04545,5.40909,1.43182,9.84091,0.0
chr2:57987104-57987105,3.68182,317.932,0.0,77.6591,1.0,1.70455,10.7955,22.3864,0.0,7.97727,16.7727,2.52273,9.22727,4.40909,4.18182,5.63636,1.47727,10.6136,0.0
chr2:57987109-57987110,3.75,331.5,0.0,79.5,1.0,1.75,11.0,22.75,0.0,8.0,17.25,2.5,9.5,4.5,4.25,5.75,1.5,11.0,0.0
chr2:57987111-57987112,3.75,331.5,0.0,79.5,1.0,1.75,11.0,22.75,0.0,8.0,17.25,2.5,9.5,4.5,4.25,5.75,1.5,11.0,0.0
chr2:57987113-57987114,3.75,331.5,0.0,79.5,1.0,1.75,11.0,22.75,0.0,8.0,17.25,2.5,9.5,4.5,4.25,5.75,1.5,11.0,0.0
chr2:57987115-57987116,3.75,331.5,0.0,79.5,1.0,1.75,11.0,22.75,0.0,8.0,17.25,2.5,9.5,4.5,4.25,5.75,1.5,11.0,0.0
chr2:57987119-57987120,3.75,331.5,0.0,79.5,1.0,1.75,11.0,22.75,0.0,8.0,17.25,2.5,9.5,4.5,4.25,5.75,1.5,11.0,0.0
chr2:57987126-57987127,3.75,331.5,0.0,79.5,1.0,1.75,11.0,22.75,0.0,8.0,17.25,2.5,9.5,4.5,4.25,5.75,1.5,11.0,0.0
chr2:57987131-57987132,3.75,331.5,0.0,79.5,1.0,1.75,11.0,22.75,0.0,8.0,17.25,2.5,9.5,4.5,4.25,5.75,1.5,11.0,0.0
chr2:57987133-57987134,3.75,331.5,0.0,79.5,1.0,1.75,11.0,22.75,0.0,8.0,17.25,2.5,9.5,4.5,4.25,5.75,1.5,11.0,0.0
chr2:57987135-57987136,3.75,331.5,0.0,79.5,1.0,1.75,11.0,22.75,0.0,8.0,17.25,2.5,9.5,4.5,4.25,5.75,1.5,11.0,0.0
chr2:57987136-57987137,3.75,331.5,0.0,79.5,1.0,1.75,11.0,22.75,0.0,8.0,17.25,2.5,9.5,4.5,4.25,5.75,1.5,11.0,0.0
chr2:57987151-57987152,4.54545,388.614,0.0,89.3636,1.0,1.59091,11.3182,24.0227,0.0,8.159089999999999,19.4773,2.02273,11.4091,4.34091,5.20455,6.06818,1.5,13.3864,0.0
chr2:57987153-57987154,4.77273,404.932,0.0,92.1818,1.0,1.54545,11.4091,24.3864,0.0,8.20455,20.1136,1.88636,11.9545,4.29545,5.47727,6.15909,1.5,14.0682,0.0
chr2:57987155-57987156,5.0,421.25,0.0,95.0,1.0,1.5,11.5,24.75,0.0,8.25,20.75,1.75,12.5,4.25,5.75,6.25,1.5,14.75,0.0
chr2:57987156-57987157,5.0,421.25,0.0,95.0,1.0,1.5,11.5,24.75,0.0,8.25,20.75,1.75,12.5,4.25,5.75,6.25,1.5,14.75,0.0
chr2:57987157-57987158,5.0,421.25,0.0,95.0,1.0,1.5,11.5,24.75,0.0,8.25,20.75,1.75,12.5,4.25,5.75,6.25,1.5,14.75,0.0
chr2:57987171-57987172,5.0,421.25,0.0,95.0,1.0,1.5,11.5,24.75,0.0,8.25,20.75,1.75,12.5,4.25,5.75,6.25,1.5,14.75,0.0
chr2:57987184-57987185,5.0,421.25,0.0,95.0,1.0,1.5,11.5,24.75,0.0,8.25,20.75,1.75,12.5,4.25,5.75,6.25,1.5,14.75,0.0
chr2:57987188-57987189,5.0,421.25,0.0,95.0,1.0,1.5,11.5,24.75,0.0,8.25,20.75,1.75,12.5,4.25,5.75,6.25,1.5,14.75,0.0
chr2:57987189-57987190,5.0,421.25,0.0,95.0,1.0,1.5,11.5,24.75,0.0,8.25,20.75,1.75,12.5,4.25,5.75,6.25,1.5,14.75,0.0
chr2:57987191-57987192,5.0,421.25,0.0,95.0,1.0,1.5,11.5,24.75,0.0,8.25,20.75,1.75,12.5,4.25,5.75,6.25,1.5,14.75,0.0
chr2:57987194-57987195,5.0,421.25,0.0,95.0,1.0,1.5,11.5,24.75,0.0,8.25,20.75,1.75,12.5,4.25,5.75,6.25,1.5,14.75,0.0
chr2:57987196-57987197,5.04545,418.523,0.0,94.6364,1.0,1.40909,11.3182,24.9318,0.0,8.06818,20.8864,1.61364,12.7273,4.34091,5.75,6.20455,1.5,14.9773,0.0
chr2:57987199-57987200,5.11364,414.432,0.0,94.0909,1.0,1.27273,11.0455,25.2045,0.0,7.79545,21.0909,1.40909,13.0682,4.47727,5.75,6.13636,1.5,15.3182,0.0
chr2:57987202-57987203,5.18182,410.341,0.0,93.5455,1.0,1.13636,10.7727,25.4773,0.0,7.52273,21.2955,1.20455,13.4091,4.61364,5.75,6.06818,1.5,15.6591,0.0
chr2:57987211-57987212,5.25,406.25,0.0,93.0,1.0,1.0,10.5,25.75,0.0,7.25,21.5,1.0,13.75,4.75,5.75,6.0,1.5,16.0,0.0
chr2:57987212-57987213,5.25,406.25,0.0,93.0,1.0,1.0,10.5,25.75,0.0,7.25,21.5,1.0,13.75,4.75,5.75,6.0,1.5,16.0,0.0
chr2:57987213-57987214,5.25,406.25,0.0,93.0,1.0,1.0,10.5,25.75,0.0,7.25,21.5,1.0,13.75,4.75,5.75,6.0,1.5,16.0,0.0
chr2:57987216-57987217,5.25,406.25,0.0,93.0,1.0,1.0,10.5,25.75,0.0,7.25,21.5,1.0,13.75,4.75,5.75,6.0,1.5,16.0,0.0
chr2:57987221-57987222,5.25,406.25,0.0,93.0,1.0,1.0,10.5,25.75,0.0,7.25,21.5,1.0,13.75,4.75,5.75,6.0,1.5,16.0,0.0
chr2:58004240-58004241,4.25,510.25,0.0,5.75,6.75,0.25,102.0,19.25,0.0,130.25,33.0,0.75,59.5,5.25,59.25,1.0,2.25,3.75,0.0
chr2:58004246-58004247,4.11364,535.795,0.0,5.75,7.43182,0.340909,105.455,19.0227,0.0,133.341,33.0,0.704545,60.8636,5.20455,59.7045,1.04545,2.25,3.79545,0.0
chr2:58004248-58004249,3.97727,561.341,0.0,5.75,8.11364,0.431818,108.909,18.7955,0.0,136.43200000000002,33.0,0.659091,62.2273,5.15909,60.1591,1.09091,2.25,3.84091,0.0
chr2:58004250-58004251,3.84091,586.886,0.0,5.75,8.79545,0.522727,112.364,18.5682,0.0,139.523,33.0,0.613636,63.5909,5.11364,60.6136,1.13636,2.25,3.88636,0.0
chr2:58004252-58004253,3.70455,612.432,0.0,5.75,9.47727,0.613636,115.818,18.3409,0.0,142.614,33.0,0.568182,64.9545,5.06818,61.0682,1.18182,2.25,3.93182,0.0
chr2:58004254-58004255,3.5681800000000004,637.977,0.0,5.75,10.1591,0.704545,119.273,18.1136,0.0,145.705,33.0,0.522727,66.3182,5.02273,61.5227,1.22727,2.25,3.97727,0.0
chr2:58004259-58004260,3.5,650.75,0.0,5.75,10.5,0.75,121.0,18.0,0.0,147.25,33.0,0.5,67.0,5.0,61.75,1.25,2.25,4.0,0.0
chr2:58004260-58004261,3.5,650.75,0.0,5.75,10.5,0.75,121.0,18.0,0.0,147.25,33.0,0.5,67.0,5.0,61.75,1.25,2.25,4.0,0.0
chr2:58004262-58004263,3.5,650.75,0.0,5.75,10.5,0.75,121.0,18.0,0.0,147.25,33.0,0.5,67.0,5.0,61.75,1.25,2.25,4.0,0.0
chr2:58004264-58004265,3.5,650.75,0.0,5.75,10.5,0.75,121.0,18.0,0.0,147.25,33.0,0.5,67.0,5.0,61.75,1.25,2.25,4.0,0.0
chr2:58004266-58004267,3.5,650.75,0.0,5.75,10.5,0.75,121.0,18.0,0.0,147.25,33.0,0.5,67.0,5.0,61.75,1.25,2.25,4.0,0.0
chr2:58004267-58004268,3.5,650.75,0.0,5.75,10.5,0.75,121.0,18.0,0.0,147.25,33.0,0.5,67.0,5.0,61.75,1.25,2.25,4.0,0.0
chr2:58004269-58004270,3.5,650.75,0.0,5.75,10.5,0.75,121.0,18.0,0.0,147.25,33.0,0.5,67.0,5.0,61.75,1.25,2.25,4.0,0.0
chr2:58004270-58004271,3.5,650.75,0.0,5.75,10.5,0.75,121.0,18.0,0.0,147.25,33.0,0.5,67.0,5.0,61.75,1.25,2.25,4.0,0.0
chr2:58004275-58004276,3.5,650.75,0.0,5.75,10.5,0.75,121.0,18.0,0.0,147.25,33.0,0.5,67.0,5.0,61.75,1.25,2.25,4.0,0.0
chr2:58004277-58004278,3.5,650.75,0.0,5.75,10.5,0.75,121.0,18.0,0.0,147.25,33.0,0.5,67.0,5.0,61.75,1.25,2.25,4.0,0.0
chr2:58004284-58004285,3.5,650.75,0.0,5.75,10.5,0.75,121.0,18.0,0.0,147.25,33.0,0.5,67.0,5.0,61.75,1.25,2.25,4.0,0.0
chr2:58004285-58004286,3.5,650.75,0.0,5.75,10.5,0.75,121.0,18.0,0.0,147.25,33.0,0.5,67.0,5.0,61.75,1.25,2.25,4.0,0.0
chr2:58004290-58004291,3.5,650.75,0.0,5.75,10.5,0.75,121.0,18.0,0.0,147.25,33.0,0.5,67.0,5.0,61.75,1.25,2.25,4.0,0.0
chr2:58004292-58004293,3.5,650.75,0.0,5.75,10.5,0.75,121.0,18.0,0.0,147.25,33.0,0.5,67.0,5.0,61.75,1.25,2.25,4.0,0.0
chr2:58004295-58004296,3.5,649.477,0.0,5.72727,10.75,0.840909,121.114,17.8182,0.0,147.523,32.7273,0.545455,66.7955,5.09091,61.6591,1.31818,2.20455,4.04545,0.0
chr2:58004296-58004297,3.5,648.205,0.0,5.70455,11.0,0.931818,121.227,17.6364,0.0,147.795,32.4545,0.590909,66.5909,5.18182,61.5682,1.38636,2.15909,4.09091,0.0
chr2:58004301-58004302,3.5,641.841,0.0,5.59091,12.25,1.38636,121.795,16.7273,0.0,149.159,31.0909,0.818182,65.5682,5.63636,61.1136,1.72727,1.93182,4.31818,0.0
chr2:58004302-58004303,3.5,640.568,0.0,5.56818,12.5,1.47727,121.909,16.5455,0.0,149.43200000000004,30.8182,0.8636360000000001,65.3636,5.72727,61.0227,1.79545,1.88636,4.36364,0.0
chr2:58004304-58004305,3.5,638.023,0.0,5.52273,13.0,1.6590900000000002,122.136,16.1818,0.0,149.977,30.2727,0.954545,64.9545,5.90909,60.8409,1.93182,1.79545,4.45455,0.0
chr2:58004306-58004307,3.5,636.75,0.0,5.5,13.25,1.75,122.25,16.0,0.0,150.25,30.0,1.0,64.75,6.0,60.75,2.0,1.75,4.5,0.0
chr2:58004307-58004308,3.5,636.75,0.0,5.5,13.25,1.75,122.25,16.0,0.0,150.25,30.0,1.0,64.75,6.0,60.75,2.0,1.75,4.5,0.0
chr2:58004308-58004309,3.5,636.75,0.0,5.5,13.25,1.75,122.25,16.0,0.0,150.25,30.0,1.0,64.75,6.0,60.75,2.0,1.75,4.5,0.0
